,Dutch,Quizlet,Sentence,English,Alternatives,P-O-S,Quizlet P-O-S,MoreInfo,Quizlet Alternatives
8,spelen,"*to play*
verb: play, game, perform
Ik speel graag piano. - I like to play the piano.",Ik speel graag piano. - I like to play the piano.,*to play*,"[['play', 'game', 'perform', 'act', 'toy', 'gamble', 'enact', 'impersonate', 'chime', 'touch', 'wanton', 'fidget with']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=spelen,"verb: play, game, perform"


9,lekker,"*Tasty*
adjective: tasty, nice, delicious
adverb: deliciously
""Het eten is lekker!"" - The food is delicious!","""Het eten is lekker!"" - The food is delicious!",*Tasty*,"[['tasty', 'nice', 'delicious', 'yummy', 'snug', 'dainty', 'enticing', 'luscious', 'tempting'], ['deliciously']]",adjective adverb,adjective adverb,https://www.linguee.com/english-dutch/search?source=auto&query=lekker,"adjective: tasty, nice, delicious
adverb: deliciously"


10,doden,"*kill*
verb: kill, slay, jugulate
De soldaten hebben veel doden gemaakt. - The soldiers have made many deaths.",De soldaten hebben veel doden gemaakt. - The soldiers have made many deaths.,*kill*,"[['kill', 'slay', 'jugulate', 'nip', 'account for']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=doden,"verb: kill, slay, jugulate"


11,gebruiken,"*to use*
verb: use, employ, take
Ik gebruik het boek voor mijn onderzoek. - I am using the book for my research.",Ik gebruik het boek voor mijn onderzoek. - I am using the book for my research.,*to use*,"[['use', 'employ', 'take', 'have', 'wield', 'feed', 'partake', 'ply', 'eat', 'interlard']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=gebruiken,"verb: use, employ, take"


12,groot,"*big*
adjective: large, great, big
noun: groat
Mijn huis is erg groot. - My house is very big.",Mijn huis is erg groot. - My house is very big.,*big*,"[['large', 'great', 'big', 'wide', 'major', 'high', 'grand', 'vast', 'tall', 'spacious', 'long', 'bulky', 'comprehensive', 'lanky', 'chunking', 'vasty', 'grown-up'], ['groat']]",adjective noun,adjective noun,https://www.linguee.com/english-dutch/search?source=auto&query=groot,"adjective: large, great, big
noun: groat"


13,kent,"*knows*
noun: the Garden of England
De kat kent de muis. - The cat knows the mouse.",De kat kent de muis. - The cat knows the mouse.,*knows*,[['the Garden of England']],noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=kent,noun: the Garden of England


14,boven,"*above*
adverb: above, over, upstairs
preposition: above, over, beyond
adjective: upper
Ik zou graag boven willen zitten. - I would like to sit upstairs.",Ik zou graag boven willen zitten. - I would like to sit upstairs.,*above*,"[['above', 'over', 'upstairs', 'atop', 'overhead', 'supra', 'aloft', 'upstair'], ['above', 'over', 'beyond', 'before'], ['upper']]",adverb preposition adjective,adverb preposition adjective,https://www.linguee.com/english-dutch/search?source=auto&query=boven,"adverb: above, over, upstairs
preposition: above, over, beyond
adjective: upper"


15,water,"*water*
noun: water
Het water is koud. - The water is cold.",Het water is koud. - The water is cold.,*water*,[['water']],noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=water,noun: water


16,problemen,"*issues*
noun: problem, puzzler
De directeur heeft veel problemen met het beheren van het bedrijf.

The director has many problems managing the company.","De directeur heeft veel problemen met het beheren van het bedrijf.

The director has many problems managing the company.",*issues*,"[['problem', 'puzzler']]",noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=problemen,"noun: problem, puzzler"


17,land,"*country*
noun: land, earth, home
Het land was enorm groot. - The land was incredibly large.",Het land was enorm groot. - The land was incredibly large.,*country*,"[['land', 'earth', 'home', 'county', 'soil', 'glebe', 'terrene']]",noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=land,"noun: land, earth, home"


18,sta,"*stand*
interjection: Stand fast!
Ik sta klaar om te gaan. - I'm ready to go.",Ik sta klaar om te gaan. - I'm ready to go.,*stand*,[['Stand fast!']],interjection,interjection,https://www.linguee.com/english-dutch/search?source=auto&query=sta,interjection: Stand fast!


19,later,"*later*
adverb: later, later on, afterwards
adjective: after, ulterior, puisne
Later zal ik je bellen. - I will call you later.",Later zal ik je bellen. - I will call you later.,*later*,"[['later', 'later on', 'afterwards', 'hereafter', 'in the sequel'], ['after', 'ulterior', 'puisne', 'posterior']]",adverb adjective,adverb adjective,https://www.linguee.com/english-dutch/search?source=auto&query=later,"adverb: later, later on, afterwards
adjective: after, ulterior, puisne"


20,papa,"*Daddy*
noun: papa, father
Mijn papa is de beste! - My dad is the best!",Mijn papa is de beste! - My dad is the best!,*Daddy*,"[['papa', 'father']]",noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=papa,"noun: papa, father"


21,pakken,"*to take*
verb: tackle, pack, take
noun: grab
Ik pak mijn tas. - I'm grabbing my bag.",Ik pak mijn tas. - I'm grabbing my bag.,*to take*,"[['tackle', 'pack', 'take', 'grab', 'catch', 'reach', 'capture', 'grip', 'pack up', 'seize', 'package', 'snatch', 'grapple', 'bite', 'hit off', 'click'], ['grab']]",verb noun,verb noun,https://www.linguee.com/english-dutch/search?source=auto&query=pakken,"verb: tackle, pack, take
noun: grab"


22,week,"*week*
noun: week, hebdomad, sennight
adjective: soft, weak, melting
Deze week heb ik veel gewerkt. - This week I have worked a lot.",Deze week heb ik veel gewerkt. - This week I have worked a lot.,*week*,"[['week', 'hebdomad', 'sennight'], ['soft', 'weak', 'melting', 'sissy', 'squashy', 'flowing', 'milk-and-water']]",noun adjective,noun adjective,https://www.linguee.com/english-dutch/search?source=auto&query=week,"noun: week, hebdomad, sennight
adjective: soft, weak, melting"


23,schat,"*Darling*
noun: treasure, darling, dear
Mijn schat, ik hou van je. My darling, I love you.","Mijn schat, ik hou van je. My darling, I love you.",*Darling*,"[['treasure', 'darling', 'dear', 'sweetheart', 'hoard', 'lovebird']]",noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=schat,"noun: treasure, darling, dear"


24,voordat,"*before*
preposition: prior to
conjunction: ere, ergo
adverb: thitherto
Voordat ik naar school ging, at ik mijn ontbijt. 
Before I went to school, I ate my breakfast.","Voordat ik naar school ging, at ik mijn ontbijt. 
Before I went to school, I ate my breakfast.",*before*,"[['prior to'], ['ere', 'ergo'], ['thitherto']]",preposition conjunction adverb,preposition conjunction adverb,https://www.linguee.com/english-dutch/search?source=auto&query=voordat,"preposition: prior to
conjunction: ere, ergo
adverb: thitherto"


25,zoveel,"*so much*
adverb: so many, how much, how many
Zoveel mensen bezoeken de stad elke dag. - So many people visit the city every day.",Zoveel mensen bezoeken de stad elke dag. - So many people visit the city every day.,*so much*,"[['so many', 'how much', 'how many']]",adverb,adverb,https://www.linguee.com/english-dutch/search?source=auto&query=zoveel,"adverb: so many, how much, how many"


26,vrij,"*free*
adjective: free, clear, leisure
adverb: free, pretty, freely
prefix: non-
Ik ben vrij om te gaan waar ik wil. - I am free to go wherever I want.",Ik ben vrij om te gaan waar ik wil. - I am free to go wherever I want.,*free*,"[['free', 'clear', 'leisure', 'vacant', 'idle', 'safe', 'disengaged', 'voluntary', 'quit', 'unoccupied', 'sufficient', 'off duty', 'unbound', 'footloose', 'gratuitous', 'unappropriated', 'unconfined', 'unstrained', 'undisposed', 'fetterless', 'heart-whole', 'fair-spoken', 'open-ended', 'go-as-you-please'], ['free', 'pretty', 'freely', 'rather', 'sufficiently', 'gratuitously', 'vacantly'], ['non-']]",adjective adverb prefix,adjective adverb prefix,https://www.linguee.com/english-dutch/search?source=auto&query=vrij,"adjective: free, clear, leisure
adverb: free, pretty, freely
prefix: non-"


27,echte,"*real*
adjective: real, genuine, very
""Hij is een echte gentleman."" - He is a true gentleman.","""Hij is een echte gentleman."" - He is a true gentleman.",*real*,"[['real', 'genuine', 'very', 'authentic', 'veritable', 'live', 'legitimate', 'thorough', 'in wedlock', 'right-down', 'simon-pure', 'out-and-out']]",adjective,adjective,https://www.linguee.com/english-dutch/search?source=auto&query=echte,"adjective: real, genuine, very"


28,stoppen,"*fuses*
verb: stop, cease, stop off
Ik moet stoppen met roken. - I have to stop smoking.",Ik moet stoppen met roken. - I have to stop smoking.,*fuses*,"[['stop', 'cease', 'stop off', 'pull over', 'stop over', 'darn', 'call', 'fill', 'mend', 'pack up', 'immobilize', 'hole', 'clog', 'surcease', 'constipate', 'hail a cab']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=stoppen,"verb: stop, cease, stop off"


29,klootzak,"*asshole*
noun: asshole, son of a bitch
""Hij is een echte klootzak!"" - He is a real jerk!","""Hij is een echte klootzak!"" - He is a real jerk!",*asshole*,"[['asshole', 'son of a bitch']]",noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=klootzak,"noun: asshole, son of a bitch"


30,beginnen,"*to start*
verb: start, begin, commence
Ik begin met het maken van de taart. - I am starting to make the cake.",Ik begin met het maken van de taart. - I am starting to make the cake.,*to start*,"[['start', 'begin', 'commence', 'start off', 'initiate', 'start out', 'do', 'set up', 'engage in', 'set out', 'set off', 'set about', 'enter upon', 'set to', 'lead off', 'launch forth', 'give a start', 'fall to', 'fall on', 'hansel', 'lead out', 'get about']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=beginnen,"verb: start, begin, commence"


31,alstublieft,"*Please*
interjection: Please!, Here you are!, If you please!
Alstublieft, mag ik wat water, alstjeblieft?
Please, may I have some water, please?","Alstublieft, mag ik wat water, alstjeblieft?
Please, may I have some water, please?",*Please*,"[['Please!', 'Here you are!', 'If you please!']]",interjection,interjection,https://www.linguee.com/english-dutch/search?source=auto&query=alstublieft,"interjection: Please!, Here you are!, If you please!"


32,zodat,"*so that*
conjunction: so that
adverb: wherefore
""Ik heb de instructies gelezen zodat ik de taak kon voltooien."" - ""I read the instructions so that I could complete the task.""","""Ik heb de instructies gelezen zodat ik de taak kon voltooien."" - ""I read the instructions so that I could complete the task.""",*so that*,"[['so that'], ['wherefore']]",conjunction adverb,conjunction adverb,https://www.linguee.com/english-dutch/search?source=auto&query=zodat,"conjunction: so that
adverb: wherefore"


33,zorg,"*concern*
noun: care, worry, anxiety
""Ik heb veel zorgen."" - ""I have a lot of worries.""","""Ik heb veel zorgen."" - ""I have a lot of worries.""",*concern*,"[['care', 'worry', 'anxiety', 'charge', 'trouble', 'regard']]",noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=zorg,"noun: care, worry, anxiety"


34,mooie,"*nice*
adjective: beautiful, nice, pretty
""Het is een mooie dag!"" - ""It's a beautiful day!""","""Het is een mooie dag!"" - ""It's a beautiful day!""",*nice*,"[['beautiful', 'nice', 'pretty', 'fine', 'handsome', 'fair', 'precious', 'shapely', 'goodly', 'seemly', 'nice-looking', 'good-looking']]",adjective,adjective,https://www.linguee.com/english-dutch/search?source=auto&query=mooie,"adjective: beautiful, nice, pretty"


35,wees,"*orphan*
noun: orphan
Wees voorzichtig! - Be careful!",Wees voorzichtig! - Be careful!,*orphan*,[['orphan']],noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=wees,noun: orphan


36,vermoorden,"*murder*
verb: murder, assassinate, slay
Ik vermoordde hem, I killed him.","Ik vermoordde hem, I killed him.",*murder*,"[['murder', 'assassinate', 'slay', 'slaughter', 'massacre']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=vermoorden,"verb: murder, assassinate, slay"


37,mis,"*wrong*
adjective: wrong, incorrect
adverb: wrong, beside the mark
noun: mass, office
Ik mis je. - I miss you.",Ik mis je. - I miss you.,*wrong*,"[['wrong', 'incorrect'], ['wrong', 'beside the mark'], ['mass', 'office']]",adjective adverb noun,adjective adverb noun,https://www.linguee.com/english-dutch/search?source=auto&query=mis,"adjective: wrong, incorrect
adverb: wrong, beside the mark
noun: mass, office"


38,vooruit,"*ahead*
adverb: forward, ahead, in advance
noun: windscreen, screen
Vooruit, laten we naar huis gaan! - Come on, let's go home!","Vooruit, laten we naar huis gaan! - Come on, let's go home!",*ahead*,"[['forward', 'ahead', 'in advance', 'forth', 'before', 'along', 'onward', 'beforehand', 'frontward', 'frontwise', 'forrader'], ['windscreen', 'screen']]",adverb noun,adverb noun,https://www.linguee.com/english-dutch/search?source=auto&query=vooruit,"adverb: forward, ahead, in advance
noun: windscreen, screen"


39,bellen,"*to call*
verb: dial, clang, clank
Ik bel je later nog, I'll call you later.","Ik bel je later nog, I'll call you later.",*to call*,"[['dial', 'clang', 'clank']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=bellen,"verb: dial, clang, clank"


40,dochter,"*daughter*
noun: daughter
Mijn dochter is mijn beste vriendin - My daughter is my best friend.",Mijn dochter is mijn beste vriendin - My daughter is my best friend.,*daughter*,[['daughter']],noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=dochter,noun: daughter


41,vrouwen,"*women*
noun: women, wives
""Vrouwen zijn sterk."" - Women are strong.","""Vrouwen zijn sterk."" - Women are strong.",*women*,"[['women', 'wives']]",noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=vrouwen,"noun: women, wives"


42,tien,"*ten*
noun: ten
: ten
De tien katten zaten in de tuin. - The ten cats were sitting in the garden.",De tien katten zaten in de tuin. - The ten cats were sitting in the garden.,*ten*,"[['ten'], ['ten']]",noun ,noun ,https://www.linguee.com/english-dutch/search?source=auto&query=tien,"noun: ten
: ten"


43,hoeft,"*need*
verb: need, require
Hoeft u niet te wachten? - Do you not need to wait?",Hoeft u niet te wachten? - Do you not need to wait?,*need*,"[['need', 'require']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=hoeft,"verb: need, require"


44,lopen,"*to walk*
verb: walk, run, foot
phrase: leg it
Ik loop naar school. - I am walking to school.",Ik loop naar school. - I am walking to school.,*to walk*,"[['walk', 'run', 'foot', 'go', 'range', 'flow', 'step', 'course', 'tread', 'march', 'water', 'tramp', 'lick', 'trend', 'hoof', 'pike', 'vamp'], ['leg it']]",verb phrase,verb phrase,https://www.linguee.com/english-dutch/search?source=auto&query=lopen,"verb: walk, run, foot
phrase: leg it"


45,hart,"*heart*
noun: heart, core, breast
""Mijn hart klopt snel."" - My heart is beating fast.","""Mijn hart klopt snel."" - My heart is beating fast.",*heart*,"[['heart', 'core', 'breast', 'pluck', 'duramen']]",noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=hart,"noun: heart, core, breast"


46,snap,"*snap*
verb: get, snap, see
""Snap je dat?"" - ""Do you understand that?""","""Snap je dat?"" - ""Do you understand that?""",*snap*,"[['get', 'snap', 'see', 'tattle', 'savvy', 'nab', 'prattle', 'cotton on', 'nail', 'nick', 'seize', 'twig', 'chat', 'chatter', 'gab', 'gabble', 'surprise']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=snap,"verb: get, snap, see"


47,voorbij,"*past*
adjective: past, preterite, preterit
adverb: past, over, all over
preposition: past, beyond, by
De trein reed voorbij. - The train passed by.",De trein reed voorbij. - The train passed by.,*past*,"[['past', 'preterite', 'preterit'], ['past', 'over', 'all over', 'out'], ['past', 'beyond', 'by']]",adjective adverb preposition,adjective adverb preposition,https://www.linguee.com/english-dutch/search?source=auto&query=voorbij,"adjective: past, preterite, preterit
adverb: past, over, all over
preposition: past, beyond, by"


48,los,"*loose*
adjective: loose, free, lax
adverb: loose, loosely, free
noun: lynx, ounce
Het losse stuk papier vloog door de lucht. - The loose piece of paper flew through the air.",Het losse stuk papier vloog door de lucht. - The loose piece of paper flew through the air.,*loose*,"[['loose', 'free', 'lax', 'cut', 'wild', 'slack', 'disjointed', 'idle', 'unconfined', 'flyaway', 'sandy', 'chatty', 'touch and go', 'mobile'], ['loose', 'loosely', 'free', 'clear', 'at large', 'fast'], ['lynx', 'ounce']]",adjective adverb noun,adjective adverb noun,https://www.linguee.com/english-dutch/search?source=auto&query=los,"adjective: loose, free, lax
adverb: loose, loosely, free
noun: lynx, ounce"


49,vergeten,"*forget*
verb: forget
Ik heb mijn sleutels vergeten. - I have forgotten my keys.",Ik heb mijn sleutels vergeten. - I have forgotten my keys.,*forget*,[['forget']],verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=vergeten,verb: forget


50,gebeuren,"*to happen*
verb: happen, be, occur
noun: opportunity
Het gebeuren was onverwacht. - The event was unexpected.",Het gebeuren was onverwacht. - The event was unexpected.,*to happen*,"[['happen', 'be', 'occur', 'take place', 'come about', 'befall', 'hap', 'grow', 'fortune'], ['opportunity']]",verb noun,verb noun,https://www.linguee.com/english-dutch/search?source=auto&query=gebeuren,"verb: happen, be, occur
noun: opportunity"


51,bloed,"*blood*
noun: blood, bordeaux
adjective: hematic, haematic
""Het bloed stroomde over de grond."" - The blood flowed over the ground.","""Het bloed stroomde over de grond."" - The blood flowed over the ground.",*blood*,"[['blood', 'bordeaux'], ['hematic', 'haematic']]",noun adjective,noun adjective,https://www.linguee.com/english-dutch/search?source=auto&query=bloed,"noun: blood, bordeaux
adjective: hematic, haematic"


52,druk,"*Busy*
noun: pressure, push, pressing
adjective: busy, crowded, noisy
adverb: busily
Het is druk in de stad. - It is busy in the city.",Het is druk in de stad. - It is busy in the city.,*Busy*,"[['pressure', 'push', 'pressing', 'edition', 'squeeze', 'load', 'impression', 'weight', 'oppression', 'pinch', 'impulse', 'impulsion', 'steamroller'], ['busy', 'crowded', 'noisy', 'bustling', 'fussed', 'brisk', 'jazzy', 'alert', 'live'], ['busily']]",noun adjective adverb,noun adjective adverb,https://www.linguee.com/english-dutch/search?source=auto&query=druk,"noun: pressure, push, pressing
adjective: busy, crowded, noisy
adverb: busily"


53,verhaal,"*story*
noun: story, tale, narrative
Het verhaal was erg interessant. - The story was very interesting.",Het verhaal was erg interessant. - The story was very interesting.,*story*,"[['story', 'tale', 'narrative', 'redress', 'history', 'recovery', 'narration', 'record', 'recital', 'yarn', 'rede', 'relation']]",noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=verhaal,"noun: story, tale, narrative"


54,moeilijk,"*difficult*
adjective: difficult, tough, tight
adverb: painfully, arduously, stiffly
Moeilijk zijn de lessen van de leraar. - The teacher's lessons are difficult.",Moeilijk zijn de lessen van de leraar. - The teacher's lessons are difficult.,*difficult*,"[['difficult', 'tough', 'tight', 'arduous', 'heavy', 'painful', 'laborious', 'inconvenient', 'stiff', 'sore', 'uphill', 'baffling', 'embarrassing', 'toilsome', 'toilful', 'lively', 'pernickety', 'hard-to-reach'], ['painfully', 'arduously', 'stiffly']]",adjective adverb,adjective adverb,https://www.linguee.com/english-dutch/search?source=auto&query=moeilijk,"adjective: difficult, tough, tight
adverb: painfully, arduously, stiffly"


55,hoi,"*Hi*

Hoi, Hallo!","Hoi, Hallo!",*Hi*,,,no P-O-S info,https://www.linguee.com/english-dutch/search?source=auto&query=hoi,


56,zes,"*six*
noun: six, sice, half-dozen
: six
Zes mensen waren aanwezig. - Six people were present.",Zes mensen waren aanwezig. - Six people were present.,*six*,"[['six', 'sice', 'half-dozen'], ['six']]",noun ,noun ,https://www.linguee.com/english-dutch/search?source=auto&query=zes,"noun: six, sice, half-dozen
: six"


57,eerder,"*earlier*
adverb: previously, rather, first
Ik had eerder koffie gedronken. - I had drunk coffee earlier.",Ik had eerder koffie gedronken. - I had drunk coffee earlier.,*earlier*,"[['previously', 'rather', 'first', 'ahead']]",adverb,adverb,https://www.linguee.com/english-dutch/search?source=auto&query=eerder,"adverb: previously, rather, first"


58,neer,"*down*
adverb: down, low
Ik heb mijn boek neergelegd. - I have put down my book.",Ik heb mijn boek neergelegd. - I have put down my book.,*down*,"[['down', 'low']]",adverb,adverb,https://www.linguee.com/english-dutch/search?source=auto&query=neer,"adverb: down, low"


59,ervan,"*of it*
pronoun: whose
Ik ben ervan overtuigd dat het waar is. - I am convinced that it is true.",Ik ben ervan overtuigd dat het waar is. - I am convinced that it is true.,*of it*,[['whose']],pronoun,pronoun,https://www.linguee.com/english-dutch/search?source=auto&query=ervan,pronoun: whose


60,bed,"*bed*
noun: bed, berth, kip
Het bed is groot. - The bed is big.",Het bed is groot. - The bed is big.,*bed*,"[['bed', 'berth', 'kip', 'doss']]",noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=bed,"noun: bed, berth, kip"


61,nacht,"*night*
noun: night, nighttime
De nacht was donker en koud. - The night was dark and cold.",De nacht was donker en koud. - The night was dark and cold.,*night*,"[['night', 'nighttime']]",noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=nacht,"noun: night, nighttime"


62,bezig,"*busy*
adjective: busy
Ik ben bezig met het schrijven van een brief. - I am busy writing a letter.",Ik ben bezig met het schrijven van een brief. - I am busy writing a letter.,*busy*,[['busy']],adjective,adjective,https://www.linguee.com/english-dutch/search?source=auto&query=bezig,adjective: busy


63,wakker,"*awake*
adjective: awake, alert, wakeful
Ik ben wakker geworden - I woke up.",Ik ben wakker geworden - I woke up.,*awake*,"[['awake', 'alert', 'wakeful', 'brisk', 'smart', 'spry', 'living']]",adjective,adjective,https://www.linguee.com/english-dutch/search?source=auto&query=wakker,"adjective: awake, alert, wakeful"


64,redden,"*to rescue*
verb: save, rescue, salvage
Hij redde haar uit de brand. - He saved her from the fire.",Hij redde haar uit de brand. - He saved her from the fire.,*to rescue*,"[['save', 'rescue', 'salvage', 'redeem', 'bring off', ""save one's face""]]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=redden,"verb: save, rescue, salvage"


65,klein,"*small*
adjective: small, little, short
Klein als een muis. - Small as a mouse.",Klein als een muis. - Small as a mouse.,*small*,"[['small', 'little', 'short', 'petty', 'young', 'wee', 'narrow', 'miniature', 'mini', 'diminutive', 'minuscule', 'teeny', 'puny', 'bijou', 'minikin', 'potty', 'pimping', 'scrubby', 'elfish', 'elvish', 'cheap', 'pint-size', 'pint-sized']]",adjective,adjective,https://www.linguee.com/english-dutch/search?source=auto&query=klein,"adjective: small, little, short"


66,gekomen,"*come*
verb: come, get, come to
Ik ben gekomen om te helpen. - I have come to help.",Ik ben gekomen om te helpen. - I have come to help.,*come*,"[['come', 'get', 'come to', 'fly into']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=gekomen,"verb: come, get, come to"


67,sinds,"*since*
adverb: since
conjunction: since, ever after, hence
preposition: since, syne
Sinds gisteren heb ik geen honger meer.
Since yesterday I haven't been hungry anymore.","Sinds gisteren heb ik geen honger meer.
Since yesterday I haven't been hungry anymore.",*since*,"[['since'], ['since', 'ever after', 'hence'], ['since', 'syne']]",adverb conjunction preposition,adverb conjunction preposition,https://www.linguee.com/english-dutch/search?source=auto&query=sinds,"adverb: since
conjunction: since, ever after, hence
preposition: since, syne"


68,kop,"*head*
noun: cup, head, heading
De kop was leeg. - The cup was empty.",De kop was leeg. - The cup was empty.,*head*,"[['cup', 'head', 'heading', 'face', 'cupping', 'warhead', 'nut', 'pate', 'poll', 'nob', 'noddle', 'onion', 'puss']]",noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=kop,"noun: cup, head, heading"


69,zult,"*will*
verb: shall
Zult u mij helpen? - Will you help me?",Zult u mij helpen? - Will you help me?,*will*,[['shall']],verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=zult,verb: shall


70,begrepen,"*understood*
interjection: O.k.!, Ok!, Okay!
Ik begrepen het, I understood it.","Ik begrepen het, I understood it.",*understood*,"[['O.k.!', 'Ok!', 'Okay!', 'Okeydokey!']]",interjection,interjection,https://www.linguee.com/english-dutch/search?source=auto&query=begrepen,"interjection: O.k.!, Ok!, Okay!"


71,plek,"*place*
noun: place, spot, patch
Deze plek is mooi. - This place is beautiful.",Deze plek is mooi. - This place is beautiful.,*place*,"[['place', 'spot', 'patch', 'stain', 'blot', 'taint', 'pop']]",noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=plek,"noun: place, spot, patch"


72,veilig,"*safe*
adjective: safe, secure, sure
adverb: safely, sure, surely
""Het is veilig om te zwemmen in het meer."" - It is safe to swim in the lake.","""Het is veilig om te zwemmen in het meer."" - It is safe to swim in the lake.",*safe*,"[['safe', 'secure', 'sure', 'heavy'], ['safely', 'sure', 'surely', 'sure thing']]",adjective adverb,adjective adverb,https://www.linguee.com/english-dutch/search?source=auto&query=veilig,"adjective: safe, secure, sure
adverb: safely, sure, surely"


73,stel,"*couple*
noun: set, bunch, pair
Stel je voor hoe leuk het zou zijn als we hier konden blijven! - Imagine how much fun it would be if we could stay here!",Stel je voor hoe leuk het zou zijn als we hier konden blijven! - Imagine how much fun it would be if we could stay here!,*couple*,"[['set', 'bunch', 'pair', 'stand', 'suit', 'gang', 'outfit', 'covey']]",noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=stel,"noun: set, bunch, pair"


