,Dutch,Quizlet,Sentence,English,Alternatives,P-O-S,Quizlet P-O-S,MoreInfo,Quizlet Alternatives
7,enkel,"*single*
adjective: only, single, one
adverb: only, just, merely
noun: ankle, ancle
Ik heb alleen een kop thee gehad, enkel om mezelf te verwarmen. - I only had a cup of tea, just to warm myself up.","Ik heb alleen een kop thee gehad, enkel om mezelf te verwarmen. - I only had a cup of tea, just to warm myself up.",*single*,"[['only', 'single', 'one', 'sole', 'mere', 'solitary', 'odd', 'sheer'], ['only', 'just', 'merely', 'simply', 'but'], ['ankle', 'ancle']]",adjective adverb noun,adjective adverb noun,https://www.linguee.com/english-dutch/search?source=auto&query=enkel,"adjective: only, single, one
adverb: only, just, merely
noun: ankle, ancle"


8,kwijt,"*lost*
adjective: lost
Ik ben mijn sleutels kwijt. - I have lost my keys.",Ik ben mijn sleutels kwijt. - I have lost my keys.,*lost*,[['lost']],adjective,adjective,https://www.linguee.com/english-dutch/search?source=auto&query=kwijt,adjective: lost


9,noemen,"*to call*
verb: call, mention, name
Ik noem het een avontuur. - I call it an adventure.",Ik noem het een avontuur. - I call it an adventure.,*to call*,"[['call', 'mention', 'name', 'cite', 'term', 'quote', 'title', 'nominate', 'make mention', 'denominate', 'tag', 'designate']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=noemen,"verb: call, mention, name"


10,valt,"*fall*
verb: fall, drop, fall down
""Het valt niet mee."" - It isn't easy.","""Het valt niet mee."" - It isn't easy.",*fall*,"[['fall', 'drop', 'fall down', 'come down', 'sink', 'pitch', 'run down', 'set', 'draw in']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=valt,"verb: fall, drop, fall down"


11,prachtig,"*beautiful*
adjective: wonderful, magnificent, gorgeous
adverb: superbly, gorgeously, sumptuously
phrase: up to the nines
""Het is prachtig weer vandaag!"" - ""It's beautiful weather today!""","""Het is prachtig weer vandaag!"" - ""It's beautiful weather today!""",*beautiful*,"[['wonderful', 'magnificent', 'gorgeous', 'superb', 'splendid', 'grand', 'sumptuous', 'famous', 'swell', 'proud', 'capital'], ['superbly', 'gorgeously', 'sumptuously', 'fat of the land'], ['up to the nines']]",adjective adverb phrase,adjective adverb phrase,https://www.linguee.com/english-dutch/search?source=auto&query=prachtig,"adjective: wonderful, magnificent, gorgeous
adverb: superbly, gorgeously, sumptuously
phrase: up to the nines"


12,rijden,"*to ride*
verb: ride, drive away, tool
Ik rijd in een auto. - I'm driving a car.",Ik rijd in een auto. - I'm driving a car.,*to ride*,"[['ride', 'drive away', 'tool']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=rijden,"verb: ride, drive away, tool"


13,zin,"*sentence*
noun: sense, sentence, want
Deze zin is in het Nederlands. - This sentence is in Dutch.",Deze zin is in het Nederlands. - This sentence is in Dutch.,*sentence*,"[['sense', 'sentence', 'want', 'mind', 'clause', 'liking', 'inclination', 'stomach', 'flair', 'relish', 'tenor', 'purport', 'disposal', 'period']]",noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=zin,"noun: sense, sentence, want"


14,hield,"*loved*
verb: keep, hold, retain
Hij hield van de zon, He loved the sun.","Hij hield van de zon, He loved the sun.",*loved*,"[['keep', 'hold', 'retain', 'have', 'handle']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=hield,"verb: keep, hold, retain"


15,daarna,"*then*
adverb: then, after, thereafter
conjunction: whereupon, whereat
Daarna gingen we naar huis. Afterwards, we went home.","Daarna gingen we naar huis. Afterwards, we went home.",*then*,"[['then', 'after', 'thereafter', 'afterwards', 'after that', 'subsequently', 'next', 'thereupon', 'after a while', 'thereon'], ['whereupon', 'whereat']]",adverb conjunction,adverb conjunction,https://www.linguee.com/english-dutch/search?source=auto&query=daarna,"adverb: then, after, thereafter
conjunction: whereupon, whereat"


16,mens,"*man*
noun: man, person, woman
De mens is een intelligent wezen. - Man is an intelligent being.",De mens is een intelligent wezen. - Man is an intelligent being.,*man*,"[['man', 'person', 'woman', 'party', 'number']]",noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=mens,"noun: man, person, woman"


17,schieten,"*to shoot*
verb: shoot, fire, gun
Ik schiet de bal naar de goal. - I shoot the ball towards the goal.",Ik schiet de bal naar de goal. - I shoot the ball towards the goal.,*to shoot*,"[['shoot', 'fire', 'gun', 'dart', 'pop', 'cannon', 'shed', 'let fly', 'pot', 'send']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=schieten,"verb: shoot, fire, gun"


18,grappig,"*funny*
adjective: funny, comic, amusing
adverb: facetiously, pleasantly
""Het is grappig!"" - It's funny!","""Het is grappig!"" - It's funny!",*funny*,"[['funny', 'comic', 'amusing', 'comical', 'facetious', 'droll', 'quizzical', 'pleasant', 'rich', 'jocular', 'jocose', 'derisory', 'joky'], ['facetiously', 'pleasantly']]",adjective adverb,adjective adverb,https://www.linguee.com/english-dutch/search?source=auto&query=grappig,"adjective: funny, comic, amusing
adverb: facetiously, pleasantly"


19,stap,"*step*
noun: step, move, pace
""Ik heb twee stappen in de richting van mijn doel gezet."" - I have taken two steps towards my goal.","""Ik heb twee stappen in de richting van mijn doel gezet."" - I have taken two steps towards my goal.",*step*,"[['step', 'move', 'pace', 'going', 'gesture', 'grade', 'tramp']]",noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=stap,"noun: step, move, pace"


20,zichzelf,"*herself*
pronoun: himself, themselves, itself
Zij leert zichzelf elke dag iets nieuws. - She learns something new every day.",Zij leert zichzelf elke dag iets nieuws. - She learns something new every day.,*herself*,"[['himself', 'themselves', 'itself', 'herself', 'oneself']]",pronoun,pronoun,https://www.linguee.com/english-dutch/search?source=auto&query=zichzelf,"pronoun: himself, themselves, itself"


21,kantoor,"*office*
noun: office, bureau, shop
""Het kantoor is gesloten voor de lunch."" - The office is closed for lunch.","""Het kantoor is gesloten voor de lunch."" - The office is closed for lunch.",*office*,"[['office', 'bureau', 'shop', 'counting house', 'counting room']]",noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=kantoor,"noun: office, bureau, shop"


22,wapens,"*weapons*
noun: weapon, arm, weaponry
""De soldaten droegen hun wapens."" - The soldiers carried their weapons.","""De soldaten droegen hun wapens."" - The soldiers carried their weapons.",*weapons*,"[['weapon', 'arm', 'weaponry', 'badge', 'insignia', 'hardware']]",noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=wapens,"noun: weapon, arm, weaponry"


23,normaal,"*normal*
adjective: normal, standard, ordinary
""Het is normaal om fouten te maken."" - It is normal to make mistakes.","""Het is normaal om fouten te maken."" - It is normal to make mistakes.",*normal*,"[['normal', 'standard', 'ordinary', 'natural']]",adjective,adjective,https://www.linguee.com/english-dutch/search?source=auto&query=normaal,"adjective: normal, standard, ordinary"


24,slechte,"*poor*
adjective: bad, evil, ill
""Hij heeft een slechte reputatie."" - He has a bad reputation.","""Hij heeft een slechte reputatie."" - He has a bad reputation.",*poor*,"[['bad', 'evil', 'ill', 'wicked', 'wrong', 'wretched', 'malicious', 'naughty', 'perverse', 'misbegotten', 'nefarious', 'dammfool', 'malign', 'mucky', 'ill-conditioned', 'penny-a-line']]",adjective,adjective,https://www.linguee.com/english-dutch/search?source=auto&query=slechte,"adjective: bad, evil, ill"


25,maakte,"*made*
verb: make, do, build
Hij maakte een taart voor zijn verjaardag. He made a cake for his birthday.",Hij maakte een taart voor zijn verjaardag. He made a cake for his birthday.,*made*,"[['make', 'do', 'build', 'manufacture', 'realize', 'develop', 'cause', 'fabricate', 'shape', 'frame']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=maakte,"verb: make, do, build"


26,moord,"*murder*
noun: murder, assassination
""De moord was een schok voor iedereen in de stad."" - The murder was a shock to everyone in the town.","""De moord was een schok voor iedereen in de stad."" - The murder was a shock to everyone in the town.",*murder*,"[['murder', 'assassination']]",noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=moord,"noun: murder, assassination"


27,gebeld,"*called*
verb: dial, clang, clank
Ik heb hem gebeld. - I called him.",Ik heb hem gebeld. - I called him.,*called*,"[['dial', 'clang', 'clank']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=gebeld,"verb: dial, clang, clank"


28,ervoor,"*before*

Ik heb er hard voor gewerkt. - I worked hard for it.",Ik heb er hard voor gewerkt. - I worked hard for it.,*before*,,,no P-O-S info,https://www.linguee.com/english-dutch/search?source=auto&query=ervoor,


29,ten,"*ten*

De jongen komt ten aanzien van zijn schoolwerk goed uit de bus. - The boy is doing well in terms of his schoolwork.",De jongen komt ten aanzien van zijn schoolwerk goed uit de bus. - The boy is doing well in terms of his schoolwork.,*ten*,,,no P-O-S info,https://www.linguee.com/english-dutch/search?source=auto&query=ten,


30,heer,"*gentleman*
noun: lord, gentleman, master
De heer is een titel die gebruikt wordt om respect te tonen.
Translation: The title ""heer"" is used to show respect.","De heer is een titel die gebruikt wordt om respect te tonen.
Translation: The title ""heer"" is used to show respect.",*gentleman*,"[['lord', 'gentleman', 'master', 'sir', 'king', 'host', 'seigneur', 'seignior', 'governor', 'sahib']]",noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=heer,"noun: lord, gentleman, master"


31,loopt,"*runs*
verb: walk, run, foot
Hij loopt naar de winkel - He is walking to the store.",Hij loopt naar de winkel - He is walking to the store.,*runs*,"[['walk', 'run', 'foot', 'go', 'range', 'flow', 'step', 'course', 'tread', 'march', 'water', 'tramp', 'lick', 'trend', 'hoof', 'pike', 'vamp']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=loopt,"verb: walk, run, foot"


32,einde,"*end*
noun: end, ending, close
adverb: in fine
Het einde is in zicht. - The end is in sight.",Het einde is in zicht. - The end is in sight.,*end*,"[['end', 'ending', 'close', 'finish', 'conclusion', 'termination', 'last', 'closing', 'expiration', 'terminal', 'surcease', 'determination', 'piece', 'omega', 'heelpiece', 'distance', 'tail-end', 'wind-up'], ['in fine']]",noun adverb,noun adverb,https://www.linguee.com/english-dutch/search?source=auto&query=einde,"noun: end, ending, close
adverb: in fine"


33,gegaan,"*gone*
verb: go, proceed, work
Ik ben naar de winkel gegaan. - I went to the store.",Ik ben naar de winkel gegaan. - I went to the store.,*gone*,"[['go', 'proceed', 'work', 'walk', 'step', 'wend', 'gang']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=gegaan,"verb: go, proceed, work"


34,gang,"*corridor*
noun: corridor, walk, hallway
De gang was donker. - The hallway was dark.",De gang was donker. - The hallway was dark.,*corridor*,"[['corridor', 'walk', 'hallway', 'course', 'going', 'way', 'passage', 'gait', 'process', 'passageway', 'pace', 'train', 'gallery', 'go', 'tunnel', 'alley', 'escapement', 'lobby', 'alleyway', 'tenor', 'footfall', 'tack', 'remove']]",noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=gang,"noun: corridor, walk, hallway"


35,vertelde,"*told*
verb: tell, relate, narrate
Hij vertelde me dat hij verliefd was geworden. - He told me that he had fallen in love.",Hij vertelde me dat hij verliefd was geworden. - He told me that he had fallen in love.,*told*,"[['tell', 'relate', 'narrate', 'recite', 'make a report', 'rede', 'pitch']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=vertelde,"verb: tell, relate, narrate"


36,spel,"*game*
noun: game, play, performance
Het spel was leuk om te spelen. - The game was fun to play.",Het spel was leuk om te spelen. - The game was fun to play.,*game*,"[['game', 'play', 'performance', 'set', 'deck']]",noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=spel,"noun: game, play, performance"


37,informatie,"*information*
noun: information, conversance
De informatie is belangrijk voor ons. - The information is important for us.",De informatie is belangrijk voor ons. - The information is important for us.,*information*,"[['information', 'conversance']]",noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=informatie,"noun: information, conversance"


38,frank,"*frank*

Frank is mijn lievelingsdier. = Frank is my favorite animal.",Frank is mijn lievelingsdier. = Frank is my favorite animal.,*frank*,,,no P-O-S info,https://www.linguee.com/english-dutch/search?source=auto&query=frank,


39,dames,"*ladies*
adjective: lady's
De dames zijn mooi gekleed. - The ladies are nicely dressed.",De dames zijn mooi gekleed. - The ladies are nicely dressed.,*ladies*,"[[""lady's""]]",adjective,adjective,https://www.linguee.com/english-dutch/search?source=auto&query=dames,adjective: lady's


40,naartoe,"*to*
preposition: to, towards, toward
Ik ga naartoe. - I'm going there.",Ik ga naartoe. - I'm going there.,*to*,"[['to', 'towards', 'toward']]",preposition,preposition,https://www.linguee.com/english-dutch/search?source=auto&query=naartoe,"preposition: to, towards, toward"


41,allebei,"*both*
adjective: both
We hebben allebei een goede dag gehad. - We both had a good day.",We hebben allebei een goede dag gehad. - We both had a good day.,*both*,[['both']],adjective,adjective,https://www.linguee.com/english-dutch/search?source=auto&query=allebei,adjective: both


42,leg,"*put*
noun: lay
Ik heb mijn been gelegd. - I have lain down my leg.",Ik heb mijn been gelegd. - I have lain down my leg.,*put*,[['lay']],noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=leg,noun: lay


43,acht,"*eight*
noun: eight, attention, care
: eight
Ik heb acht boeken gelezen. - I have read eight books.",Ik heb acht boeken gelezen. - I have read eight books.,*eight*,"[['eight', 'attention', 'care'], ['eight']]",noun ,noun ,https://www.linguee.com/english-dutch/search?source=auto&query=acht,"noun: eight, attention, care
: eight"


44,pap,"*dad*
noun: porridge, pap, gruel
Pap smaakt goed! - Dad tastes good!",Pap smaakt goed! - Dad tastes good!,*dad*,"[['porridge', 'pap', 'gruel', 'mush', 'paste', 'dressing', 'mess', 'cataplasm']]",noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=pap,"noun: porridge, pap, gruel"


45,seks,"*sex*
noun: sex, pork
""Seks is een belangrijk onderdeel van het leven."" - ""Sex is an important part of life.""","""Seks is een belangrijk onderdeel van het leven."" - ""Sex is an important part of life.""",*sex*,"[['sex', 'pork']]",noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=seks,"noun: sex, pork"


46,minder,"*fewer*
adjective: less, lesser, minor
adverb: less
Mijn loon is minder dan dat van mijn collega. - My salary is less than that of my colleague.",Mijn loon is minder dan dat van mijn collega. - My salary is less than that of my colleague.,*fewer*,"[['less', 'lesser', 'minor', 'inferior'], ['less']]",adjective adverb,adjective adverb,https://www.linguee.com/english-dutch/search?source=auto&query=minder,"adjective: less, lesser, minor
adverb: less"


47,gevoel,"*feeling*
noun: feeling, sense, sensation
Ik heb een goed gevoel over deze situatie. - I have a good feeling about this situation.",Ik heb een goed gevoel over deze situatie. - I have a good feeling about this situation.,*feeling*,"[['feeling', 'sense', 'sensation', 'sentiment', 'touch', 'hunch', 'heart']]",noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=gevoel,"noun: feeling, sense, sensation"


48,trouwen,"*to marry*
verb: marry, wed, marry off
Ik ga trouwen met mijn vriendin. = I am going to marry my girlfriend.",Ik ga trouwen met mijn vriendin. = I am going to marry my girlfriend.,*to marry*,"[['marry', 'wed', 'marry off', 'mate', 'pair off', 'make a match', 'give in marriage']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=trouwen,"verb: marry, wed, marry off"


49,nogal,"*rather*
adverb: rather, quite, some
adjective: sufficient
Ik heb nogal veel huiswerk. - I have quite a lot of homework.",Ik heb nogal veel huiswerk. - I have quite a lot of homework.,*rather*,"[['rather', 'quite', 'some', 'sufficiently'], ['sufficient']]",adverb adjective,adverb adjective,https://www.linguee.com/english-dutch/search?source=auto&query=nogal,"adverb: rather, quite, some
adjective: sufficient"


50,eh,"*uh*

Eh, ik ben het vergeten. - Oh, I forgot it.","Eh, ik ben het vergeten. - Oh, I forgot it.",*uh*,,,no P-O-S info,https://www.linguee.com/english-dutch/search?source=auto&query=eh,


51,voelen,"*to feel*
verb: feel, sense, emote
Ik voel me goed - I feel good",Ik voel me goed - I feel good,*to feel*,"[['feel', 'sense', 'emote', 'grope', 'sensate', 'fumble up', 'poke']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=voelen,"verb: feel, sense, emote"


52,begint,"*begins*
verb: start, begin, commence
Begint het al donker te worden? - Is it starting to get dark already?",Begint het al donker te worden? - Is it starting to get dark already?,*begins*,"[['start', 'begin', 'commence', 'start off', 'initiate', 'start out', 'do', 'set up', 'engage in', 'set out', 'set off', 'set about', 'enter upon', 'set to', 'lead off', 'launch forth', 'give a start', 'fall to', 'fall on', 'hansel', 'lead out', 'get about']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=begint,"verb: start, begin, commence"


53,plezier,"*pleasure*
noun: fun, pleasure
Ik heb veel plezier gehad. - I had a lot of fun.",Ik heb veel plezier gehad. - I had a lot of fun.,*pleasure*,"[['fun', 'pleasure']]",noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=plezier,"noun: fun, pleasure"


54,meisjes,"*girls*
adjective: girlish, maiden
De meisjes zijn vrolijk. - The girls are happy.",De meisjes zijn vrolijk. - The girls are happy.,*girls*,"[['girlish', 'maiden']]",adjective,adjective,https://www.linguee.com/english-dutch/search?source=auto&query=meisjes,"adjective: girlish, maiden"


55,stuur,"*send*
noun: steering wheel, handlebar, helm
Ik stuur je een bericht. - I'm sending you a message.",Ik stuur je een bericht. - I'm sending you a message.,*send*,"[['steering wheel', 'handlebar', 'helm', 'rudder', 'diving rudder']]",noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=stuur,"noun: steering wheel, handlebar, helm"


56,foto,"*photo*
noun: photo, photograph
""Ik heb een foto gemaakt."" - ""I took a photo.""","""Ik heb een foto gemaakt."" - ""I took a photo.""",*photo*,"[['photo', 'photograph']]",noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=foto,"noun: photo, photograph"


57,vreemd,"*foreign*
adjective: strange, foreign, alien
adverb: strangely, oddly, curiously
""Het is vreemd dat hij niet komt."" - It is strange that he does not come.","""Het is vreemd dat hij niet komt."" - It is strange that he does not come.",*foreign*,"[['strange', 'foreign', 'alien', 'odd', 'weird', 'funny', 'peculiar', 'curious', 'quaint', 'extraneous', 'unfamiliar', 'queer', 'outlandish', 'singular', 'kinky', 'whacky', 'oddish', 'unco', 'vagarious'], ['strangely', 'oddly', 'curiously', 'peculiarly', 'queerly']]",adjective adverb,adjective adverb,https://www.linguee.com/english-dutch/search?source=auto&query=vreemd,"adjective: strange, foreign, alien
adverb: strangely, oddly, curiously"


58,zomaar,"*just like that*
adverb: overnight
""Ik ben zomaar naar de winkel gegaan."" = ""I just went to the store randomly.""","""Ik ben zomaar naar de winkel gegaan."" = ""I just went to the store randomly.""",*just like that*,[['overnight']],adverb,adverb,https://www.linguee.com/english-dutch/search?source=auto&query=zomaar,adverb: overnight


59,verkeerd,"*wrong*
adjective: wrong, incorrect, mistaken
adverb: wrong, wrongly, amiss
""Je hebt het verkeerd begrepen"" - You have misunderstood it.","""Je hebt het verkeerd begrepen"" - You have misunderstood it.",*wrong*,"[['wrong', 'incorrect', 'mistaken', 'erroneous', 'faulty', 'perverse', 'abusive', 'preposterous', 'wry', 'cockeyed'], ['wrong', 'wrongly', 'amiss', 'perversely']]",adjective adverb,adjective adverb,https://www.linguee.com/english-dutch/search?source=auto&query=verkeerd,"adjective: wrong, incorrect, mistaken
adverb: wrong, wrongly, amiss"


60,zeven,"*seven*
verb: sieve, screen, sift
Ik heb zeven boeken gelezen. - I have read seven books.",Ik heb zeven boeken gelezen. - I have read seven books.,*seven*,"[['sieve', 'screen', 'sift']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=zeven,"verb: sieve, screen, sift"


61,lucht,"*sky*
noun: air, sky, atmosphere
De lucht was helder en fris. - The air was clear and fresh.",De lucht was helder en fris. - The air was clear and fresh.,*sky*,"[['air', 'sky', 'atmosphere', 'smell', 'wind', 'heaven', 'breath', 'scent', 'fume', 'empyrean', 'niff']]",noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=lucht,"noun: air, sky, atmosphere"


62,grond,"*ground*
noun: ground, floor, basis
De grond was bedekt met sneeuw. - The ground was covered in snow.",De grond was bedekt met sneeuw. - The ground was covered in snow.,*ground*,"[['ground', 'floor', 'basis', 'land', 'soil', 'reason', 'earth', 'bottom', 'warrant', 'patch', 'warranty', 'occasion']]",noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=grond,"noun: ground, floor, basis"


63,leeft,"*lives*
verb: live, exist
Hij leeft in het moment. - He lives in the moment.",Hij leeft in het moment. - He lives in the moment.,*lives*,"[['live', 'exist']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=leeft,"verb: live, exist"


64,nam,"*took*
verb: take, reach, seize
Ik heb mijn naam veranderd. - I changed my name.",Ik heb mijn naam veranderd. - I changed my name.,*took*,"[['take', 'reach', 'seize', 'understand']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=nam,"verb: take, reach, seize"


65,pardon,"*excuse me*
interjection: Excuse me!, I beg your pardon!
Pardon, wat heb je gezegd? Translation: Pardon, what did you say?","Pardon, wat heb je gezegd? Translation: Pardon, what did you say?",*excuse me*,"[['Excuse me!', 'I beg your pardon!']]",interjection,interjection,https://www.linguee.com/english-dutch/search?source=auto&query=pardon,"interjection: Excuse me!, I beg your pardon!"


66,verwacht,"*expected*
verb: expect, anticipate, hope
Ik verwacht dat het morgen regent. - I expect it to rain tomorrow.",Ik verwacht dat het morgen regent. - I expect it to rain tomorrow.,*expected*,"[['expect', 'anticipate', 'hope', 'await', 'foresee', 'look for', 'look out for']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=verwacht,"verb: expect, anticipate, hope"


67,kopen,"*to buy*
verb: buy, purchase, market
Ik koop een nieuwe auto. - I'm buying a new car.",Ik koop een nieuwe auto. - I'm buying a new car.,*to buy*,"[['buy', 'purchase', 'market', 'go shopping', 'take']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=kopen,"verb: buy, purchase, market"


68,koffie,"*coffee*
noun: coffee
Ik heb een kop koffie nodig. - I need a cup of coffee.",Ik heb een kop koffie nodig. - I need a cup of coffee.,*coffee*,[['coffee']],noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=koffie,noun: coffee


69,onderzoek,"*research*
noun: research, investigation, examination
Het onderzoek heeft veel nuttige informatie opgeleverd. - The research yielded a lot of useful information.",Het onderzoek heeft veel nuttige informatie opgeleverd. - The research yielded a lot of useful information.,*research*,"[['research', 'investigation', 'examination', 'search', 'inquiry', 'test', 'trial', 'inspection', 'assay', 'probe', 'inquest', 'quest', 'checkup', 'hearing', 'inquisition', 'vet', 'probation', 'pioneering']]",noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=onderzoek,"noun: research, investigation, examination"


70,gesproken,"*spoken*
verb: speak, talk, see
Ik heb met hem gesproken. - I have spoken with him.",Ik heb met hem gesproken. - I have spoken with him.,*spoken*,"[['speak', 'talk', 'see', 'discourse', 'commune']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=gesproken,"verb: speak, talk, see"


71,herinner,"*remember*
verb: remember, remind, recollect
Ik herinner me de vakantie in Zuid-Frankrijk. - I remember the vacation in South France.",Ik herinner me de vakantie in Zuid-Frankrijk. - I remember the vacation in South France.,*remember*,"[['remember', 'remind', 'recollect', 'keep in mind', 'place']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=herinner,"verb: remember, remind, recollect"


72,idioot,"*idiot*
noun: idiot, fool, bonehead
adjective: idiotic, foolish, wacky
""Hij is een idioot!"" - He is an idiot!","""Hij is een idioot!"" - He is an idiot!",*idiot*,"[['idiot', 'fool', 'bonehead', 'blunderhead', 'lackbrain'], ['idiotic', 'foolish', 'wacky', 'boneheaded']]",noun adjective,noun adjective,https://www.linguee.com/english-dutch/search?source=auto&query=idioot,"noun: idiot, fool, bonehead
adjective: idiotic, foolish, wacky"


73,ziekenhuis,"*Hopital*
noun: hospital, infirmary
Het ziekenhuis is waar mensen behandeld worden. - The hospital is where people are treated.",Het ziekenhuis is waar mensen behandeld worden. - The hospital is where people are treated.,*Hopital*,"[['hospital', 'infirmary']]",noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=ziekenhuis,"noun: hospital, infirmary"


74,daarmee,"*with that*
adverb: therewith
""Daarmee kunnen we onze doelen bereiken."" - With that, we can achieve our goals.","""Daarmee kunnen we onze doelen bereiken."" - With that, we can achieve our goals.",*with that*,[['therewith']],adverb,adverb,https://www.linguee.com/english-dutch/search?source=auto&query=daarmee,adverb: therewith


75,shit,"*shit*

""Shit, ik ben mijn sleutels kwijt!"" - ""Shit, I've lost my keys!""","""Shit, ik ben mijn sleutels kwijt!"" - ""Shit, I've lost my keys!""",*shit*,,,no P-O-S info,https://www.linguee.com/english-dutch/search?source=auto&query=shit,


