,Dutch,Quizlet,Sentence,English,Alternatives,P-O-S,Quizlet P-O-S,MoreInfo,Quizlet Alternatives
10,van,"*by*
preposition: of, from, by
noun: surname
mijn vrienden hou ik het meest van jou. - Of all my friends, I like you the most.","mijn vrienden hou ik het meest van jou. - Of all my friends, I like you the most.",*by*,"[['of', 'from', 'by', 'with', 'at', 'off'], ['surname']]",preposition noun,preposition noun,https://www.linguee.com/english-dutch/search?source=auto&query=van,"preposition: of, from, by
noun: surname"


11,we,"*we*
pronoun: we
aan naar de bioscoop. - We are going to the movies.",aan naar de bioscoop. - We are going to the movies.,*we*,[['we']],pronoun,pronoun,https://www.linguee.com/english-dutch/search?source=auto&query=we,pronoun: we


12,in,"*in*
preposition: in, into, at
en in de stad. - I am in the city.",en in de stad. - I am in the city.,*in*,"[['in', 'into', 'at', 'on', 'within', 'inside', 'per']]",preposition,preposition,https://www.linguee.com/english-dutch/search?source=auto&query=in,"preposition: in, into, at"


13,ze,"*she*
pronoun: they, she, them
eeft een grote lach. - She has a big laugh.",eeft een grote lach. - She has a big laugh.,*she*,"[['they', 'she', 'them', 'her']]",pronoun,pronoun,https://www.linguee.com/english-dutch/search?source=auto&query=ze,"pronoun: they, she, them"


14,hij,"*he*
pronoun: he, it, him
rent naar school. - He runs to school.",rent naar school. - He runs to school.,*he*,"[['he', 'it', 'him']]",pronoun,pronoun,https://www.linguee.com/english-dutch/search?source=auto&query=hij,"pronoun: he, it, him"


15,op,"*on*
adverb: on, up, upward
preposition: on, at, in
adjective: spent, exhausted, perished
ta op om te gaan lopen. - I'm getting up to go for a walk.",ta op om te gaan lopen. - I'm getting up to go for a walk.,*on*,"[['on', 'up', 'upward', 'upwards'], ['on', 'at', 'in', 'by', 'up', 'upon'], ['spent', 'exhausted', 'perished', 'played-out']]",adverb preposition adjective,adverb preposition adjective,https://www.linguee.com/english-dutch/search?source=auto&query=op,"adverb: on, up, upward
preposition: on, at, in
adjective: spent, exhausted, perished"


16,te,"*at*
particle: to
adverb: too
preposition: in, at, on
prefix: over-
eb te veel gegeten. - I ate too much.",eb te veel gegeten. - I ate too much.,*at*,"[['to'], ['too'], ['in', 'at', 'on', 'into', 'inside', 'per'], ['over-']]",particle adverb preposition prefix,particle adverb preposition prefix,https://www.linguee.com/english-dutch/search?source=auto&query=te,"particle: to
adverb: too
preposition: in, at, on
prefix: over-"


17,zijn,"*are*
pronoun: his, its, her
verb: be
noun: entity
is mijn broer. - He is my brother.",is mijn broer. - He is my brother.,*are*,"[['his', 'its', 'her', 'him'], ['be'], ['entity']]",pronoun verb noun,pronoun verb noun,https://www.linguee.com/english-dutch/search?source=auto&query=zijn,"pronoun: his, its, her
verb: be
noun: entity"


18,er,"*there*
adverb: there, yonder
s geen tijd om te wachten - There is no time to wait.",s geen tijd om te wachten - There is no time to wait.,*there*,"[['there', 'yonder']]",adverb,adverb,https://www.linguee.com/english-dutch/search?source=auto&query=er,"adverb: there, yonder"


19,maar,"*but*
conjunction: but, only
preposition: but
adverb: only, however, solely
adjective: mere
noun: battleship
moet helaas maar gaan,"" - ""Unfortunately, I have to go.""","moet helaas maar gaan,"" - ""Unfortunately, I have to go.""",*but*,"[['but', 'only'], ['but'], ['only', 'however', 'solely'], ['mere'], ['battleship']]",conjunction preposition adverb adjective noun,conjunction preposition adverb adjective noun,https://www.linguee.com/english-dutch/search?source=auto&query=maar,"conjunction: but, only
preposition: but
adverb: only, however, solely
adjective: mere
noun: battleship"


20,die,"*That*
pronoun: that, which, who
conjunction: which, who
 kat is zwart."" - ""The cat is black."""," kat is zwart."" - ""The cat is black.""",*That*,"[['that', 'which', 'who', 'those', 'these', 'whom', 'that one', 'those ones'], ['which', 'who']]",pronoun conjunction,pronoun conjunction,https://www.linguee.com/english-dutch/search?source=auto&query=die,"pronoun: that, which, who
conjunction: which, who"


21,heb,"*have*
verb: have, possess, own
eb een boek gelezen. = I have read a book.",eb een boek gelezen. = I have read a book.,*have*,"[['have', 'possess', 'own']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=heb,"verb: have, possess, own"


22,me,"*me*
pronoun: me, I
eb me vergist. - I made a mistake.",eb me vergist. - I made a mistake.,*me*,"[['me', 'I']]",pronoun,pronoun,https://www.linguee.com/english-dutch/search?source=auto&query=me,"pronoun: me, I"


23,met,"*of*
preposition: with, by, on
adverb: along with
a met mijn vrienden naar het strand. - I'm going to the beach with my friends.",a met mijn vrienden naar het strand. - I'm going to the beach with my friends.,*of*,"[['with', 'by', 'on', 'against', 'cum'], ['along with']]",preposition adverb,preposition adverb,https://www.linguee.com/english-dutch/search?source=auto&query=met,"preposition: with, by, on
adverb: along with"


24,voor,"*for*
preposition: for, prior to, in front of
adverb: before, ahead, along
noun: furrow, grip, rut
conjunction: ere
eb geen tijd om te wachten voor de trein. - I don't have time to wait for the train.",eb geen tijd om te wachten voor de trein. - I don't have time to wait for the train.,*for*,"[['for', 'prior to', 'in front of', 'at', 'previous to'], ['before', 'ahead', 'along', 'fast', 'formerly'], ['furrow', 'grip', 'rut', 'groove'], ['ere']]",preposition adverb noun conjunction,preposition adverb noun conjunction,https://www.linguee.com/english-dutch/search?source=auto&query=voor,"preposition: for, prior to, in front of
adverb: before, ahead, along
noun: furrow, grip, rut
conjunction: ere"


25,als,"*if*
adverb: as
conjunction: as, if, when
preposition: like
je moe bent, neem dan een rustpauze. - If you are tired, take a break.","je moe bent, neem dan een rustpauze. - If you are tired, take a break.",*if*,"[['as'], ['as', 'if', 'when', 'like', 'now', 'how'], ['like']]",adverb conjunction preposition,adverb conjunction preposition,https://www.linguee.com/english-dutch/search?source=auto&query=als,"adverb: as
conjunction: as, if, when
preposition: like"


26,ben,"*am*
noun: basket
en vermoeid. - I am tired.",en vermoeid. - I am tired.,*am*,[['basket']],noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=ben,noun: basket


27,was,"*used to be*
noun: wash, wax, washing
as daar gisteren. - I was there yesterday.",as daar gisteren. - I was there yesterday.,*used to be*,"[['wash', 'wax', 'washing', 'laundry', 'clothes', 'beeswax']]",noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=was,"noun: wash, wax, washing"


28,dit,"*this*
pronoun: this, it
is mijn huis. - This is my house.",is mijn huis. - This is my house.,*this*,"[['this', 'it']]",pronoun,pronoun,https://www.linguee.com/english-dutch/search?source=auto&query=dit,"pronoun: this, it"


29,mijn,"*mine*
pronoun: my, mine, of mine
noun: mine, pit, quarry
 huis is groot. - My house is big.", huis is groot. - My house is big.,*mine*,"[['my', 'mine', 'of mine'], ['mine', 'pit', 'quarry', 'auction', 'working']]",pronoun noun,pronoun noun,https://www.linguee.com/english-dutch/search?source=auto&query=mijn,"pronoun: my, mine, of mine
noun: mine, pit, quarry"


30,om,"*to*
preposition: to, for, at
adverb: around, about
ebruik deze spullen om mijn huis te versieren. - I use these things to decorate my house.",ebruik deze spullen om mijn huis te versieren. - I use these things to decorate my house.,*to*,"[['to', 'for', 'at', 'about', 'on', 'by'], ['around', 'about']]",preposition adverb,preposition adverb,https://www.linguee.com/english-dutch/search?source=auto&query=om,"preposition: to, for, at
adverb: around, about"


31,aan,"*On*
preposition: to, on, at
eb aan het werk gewerkt. - I have been working.",eb aan het werk gewerkt. - I have been working.,*On*,"[['to', 'on', 'at', 'in', 'by', 'upon', 'beside']]",preposition,preposition,https://www.linguee.com/english-dutch/search?source=auto&query=aan,"preposition: to, on, at"


32,jij,"*you*
pronoun: you, thou
bent mijn beste vriend.
You are my best friend.","bent mijn beste vriend.
You are my best friend.",*you*,"[['you', 'thou']]",pronoun,pronoun,https://www.linguee.com/english-dutch/search?source=auto&query=jij,"pronoun: you, thou"


33,naar,"*Unpleasant*
preposition: to, for, at
adverb: along
adjective: sick, bleak, dismal
ing naar de supermarkt. - I went to the supermarket.",ing naar de supermarkt. - I went to the supermarket.,*Unpleasant*,"[['to', 'for', 'at', 'in', 'from', 'after', 'onto'], ['along'], ['sick', 'bleak', 'dismal', 'damfool', 'ill']]",preposition adverb adjective,preposition adverb adjective,https://www.linguee.com/english-dutch/search?source=auto&query=naar,"preposition: to, for, at
adverb: along
adjective: sick, bleak, dismal"


34,dan,"*than*
conjunction: than
adverb: then, subsequently, afterwards
 kunnen we gaan."" - Then we can go."," kunnen we gaan."" - Then we can go.",*than*,"[['than'], ['then', 'subsequently', 'afterwards']]",conjunction adverb,conjunction adverb,https://www.linguee.com/english-dutch/search?source=auto&query=dan,"conjunction: than
adverb: then, subsequently, afterwards"


35,hier,"*here*
adverb: here
 is mijn huis. - Here is my house.", is mijn huis. - Here is my house.,*here*,[['here']],adverb,adverb,https://www.linguee.com/english-dutch/search?source=auto&query=hier,adverb: here


36,weet,"*know*
verb: know, wit, wot
eet het niet. - I don't know.",eet het niet. - I don't know.,*know*,"[['know', 'wit', 'wot']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=weet,"verb: know, wit, wot"


37,kan,"*can*
noun: can, jug, pot
an dit alleen doen. - I can do this alone.",an dit alleen doen. - I can do this alone.,*can*,"[['can', 'jug', 'pot', 'urn', 'crock', 'jag', 'pitcher']]",noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=kan,"noun: can, jug, pot"


38,geen,"*no*
adjective: no, none, neither
adverb: no, not
pronoun: no, none, neither
eb geen tijd - I don't have time.",eb geen tijd - I don't have time.,*no*,"[['no', 'none', 'neither'], ['no', 'not'], ['no', 'none', 'neither', 'no one', 'nobody']]",adjective adverb pronoun,adjective adverb pronoun,https://www.linguee.com/english-dutch/search?source=auto&query=geen,"adjective: no, none, neither
adverb: no, not
pronoun: no, none, neither"


39,nog,"*yet*
adverb: yet, still, stilly
adjective: other
steeds heb ik geen antwoord op mijn vraag. 
Still, I don't have an answer to my question.","steeds heb ik geen antwoord op mijn vraag. 
Still, I don't have an answer to my question.",*yet*,"[['yet', 'still', 'stilly'], ['other']]",adverb adjective,adverb adjective,https://www.linguee.com/english-dutch/search?source=auto&query=nog,"adverb: yet, still, stilly
adjective: other"


40,moet,"*must*
noun: must, blot
oet nu naar huis gaan. - I have to go home now.",oet nu naar huis gaan. - I have to go home now.,*must*,"[['must', 'blot']]",noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=moet,"noun: must, blot"


41,wil,"*want to*
noun: will, willingness, volition
il dat je me vertelt wat er aan de hand is. - I want you to tell me what's going on.",il dat je me vertelt wat er aan de hand is. - I want you to tell me what's going on.,*want to*,"[['will', 'willingness', 'volition']]",noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=wil,"noun: will, willingness, volition"


42,wel,"*well*
adjective: well
adverb: well, surely, sure thing
noun: well, daresay, source
conjunction: as many as
kom bij ons!"" - Welcome with us!","kom bij ons!"" - Welcome with us!",*well*,"[['well'], ['well', 'surely', 'sure thing'], ['well', 'daresay', 'source', 'well-being'], ['as many as']]",adjective adverb noun conjunction,adjective adverb noun conjunction,https://www.linguee.com/english-dutch/search?source=auto&query=wel,"adjective: well
adverb: well, surely, sure thing
noun: well, daresay, source
conjunction: as many as"


43,ja,"*Yes*
particle: yes, yeah, yea
 ik begrijp het."" - Yes, I understand."," ik begrijp het."" - Yes, I understand.",*Yes*,"[['yes', 'yeah', 'yea', 'ay', 'yep']]",particle,particle,https://www.linguee.com/english-dutch/search?source=auto&query=ja,"particle: yes, yeah, yea"


44,zo,"*Like this*
adverb: so, that, thus
conjunction: if
preposition: like
heb ik het gedaan."" - ""That's how I did it.""","heb ik het gedaan."" - ""That's how I did it.""",*Like this*,"[['so', 'that', 'thus', 'like that', 'sic'], ['if'], ['like']]",adverb conjunction preposition,adverb conjunction preposition,https://www.linguee.com/english-dutch/search?source=auto&query=zo,"adverb: so, that, thus
conjunction: if
preposition: like"


45,heeft,"*has*
verb: have, possess, own
heeft een auto gekocht. - He has bought a car.",heeft een auto gekocht. - He has bought a car.,*has*,"[['have', 'possess', 'own']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=heeft,"verb: have, possess, own"


46,hebben,"*to have*
auxiliary verb: have
verb: have, possess, own
ebben een nieuwe auto gekocht. - I have bought a new car.",ebben een nieuwe auto gekocht. - I have bought a new car.,*to have*,"[['have'], ['have', 'possess', 'own']]",auxiliary verb verb,auxiliary verb verb,https://www.linguee.com/english-dutch/search?source=auto&query=hebben,"auxiliary verb: have
verb: have, possess, own"


47,hem,"*it*
pronoun: him, to him
gaf hem een cadeau. - He gave him a present.",gaf hem een cadeau. - He gave him a present.,*it*,"[['him', 'to him']]",pronoun,pronoun,https://www.linguee.com/english-dutch/search?source=auto&query=hem,"pronoun: him, to him"


48,goed,"*Good*
adjective: good, well, correct
adverb: well, okay, o.k.
noun: estate, stuff, ranch
emorgen, ik hoop dat je het goed maakt! - Good morning, I hope you're doing well!","emorgen, ik hoop dat je het goed maakt! - Good morning, I hope you're doing well!",*Good*,"[['good', 'well', 'correct', 'kind', 'fair', 'kindly', 'pristine', 'kindhearted', 'goody-goody'], ['well', 'okay', 'o.k.', 'ok', 'fairly well', 'kindly', 'okey', 'okeydokey'], ['estate', 'stuff', 'ranch']]",adjective adverb noun,adjective adverb noun,https://www.linguee.com/english-dutch/search?source=auto&query=goed,"adjective: good, well, correct
adverb: well, okay, o.k.
noun: estate, stuff, ranch"


49,nee,"*no*
particle: no
adverb: not
 ik heb geen tijd. - No, I don't have time."," ik heb geen tijd. - No, I don't have time.",*no*,"[['no'], ['not']]",particle adverb,particle adverb,https://www.linguee.com/english-dutch/search?source=auto&query=nee,"particle: no
adverb: not"


50,waar,"*Where*
adverb: where, whereabouts, veraciously
conjunction: where, whereabouts
adjective: true, real, authentic
noun: merchandise, ware, vendible
 is de bibliotheek? - Where is the library?", is de bibliotheek? - Where is the library?,*Where*,"[['where', 'whereabouts', 'veraciously'], ['where', 'whereabouts'], ['true', 'real', 'authentic', 'truthful', 'deserving', 'veracious', 'dear', 'surefire', 'simon-pure'], ['merchandise', 'ware', 'vendible']]",adverb conjunction adjective noun,adverb conjunction adjective noun,https://www.linguee.com/english-dutch/search?source=auto&query=waar,"adverb: where, whereabouts, veraciously
conjunction: where, whereabouts
adjective: true, real, authentic
noun: merchandise, ware, vendible"


51,nu,"*now*
adverb: now, nowadays
a ik naar huis. Now I'm going home.",a ik naar huis. Now I'm going home.,*now*,"[['now', 'nowadays']]",adverb,adverb,https://www.linguee.com/english-dutch/search?source=auto&query=nu,"adverb: now, nowadays"


52,hoe,"*how*
adverb: how
 gaat het met je?"" - How are you?"," gaat het met je?"" - How are you?",*how*,[['how']],adverb,adverb,https://www.linguee.com/english-dutch/search?source=auto&query=hoe,adverb: how


53,ga,"*go*
verb: go, proceed, work
aar de winkel! - Go to the store!",aar de winkel! - Go to the store!,*go*,"[['go', 'proceed', 'work', 'walk', 'step', 'wend', 'gang']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=ga,"verb: go, proceed, work"


54,haar,"*her*
pronoun: its, her, their
noun: hair, wool, nap
 ogen glinsterden in de zon. - Her eyes sparkled in the sun.", ogen glinsterden in de zon. - Her eyes sparkled in the sun.,*her*,"[['its', 'her', 'their', 'them'], ['hair', 'wool', 'nap']]",pronoun noun,pronoun noun,https://www.linguee.com/english-dutch/search?source=auto&query=haar,"pronoun: its, her, their
noun: hair, wool, nap"


55,uit,"*out *
preposition: from, out, in
adverb: out, off, through
eb uitgeschreven wat ik moest doen. - I have written out what I had to do.",eb uitgeschreven wat ik moest doen. - I have written out what I had to do.,*out *,"[['from', 'out', 'in', 'for'], ['out', 'off', 'through', 'over']]",preposition adverb,preposition adverb,https://www.linguee.com/english-dutch/search?source=auto&query=uit,"preposition: from, out, in
adverb: out, off, through"


56,doen,"*doing*
verb: do, make, perform
noun: doing
oe het elke dag. - I do it every day.",oe het elke dag. - I do it every day.,*doing*,"[['do', 'make', 'perform', 'put', 'cause', 'act', 'bloat'], ['doing']]",verb noun,verb noun,https://www.linguee.com/english-dutch/search?source=auto&query=doen,"verb: do, make, perform
noun: doing"


57,ook,"*also*
adverb: also, too, as well
conjunction: either
adjective: prolonged
ik heb deze vraag gelezen. - I also read this question.",ik heb deze vraag gelezen. - I also read this question.,*also*,"[['also', 'too', 'as well', 'likewise', 'amply', 'idem', 'eke'], ['either'], ['prolonged']]",adverb conjunction adjective,adverb conjunction adjective,https://www.linguee.com/english-dutch/search?source=auto&query=ook,"adverb: also, too, as well
conjunction: either
adjective: prolonged"


58,over,"*about*
preposition: about, on, over
adverb: over, across, supra
en over een uur thuis. - I will be home in an hour.",en over een uur thuis. - I will be home in an hour.,*about*,"[['about', 'on', 'over', 'of', 'in', 'along', 'by', 'via', 'beyond', 'past', 'above', 'behind', 'after the lapse of'], ['over', 'across', 'supra', 'away']]",preposition adverb,preposition adverb,https://www.linguee.com/english-dutch/search?source=auto&query=over,"preposition: about, on, over
adverb: over, across, supra"


59,bent,"*are*
verb: be
bent mijn beste vriend."" - You are my best friend.","bent mijn beste vriend."" - You are my best friend.",*are*,[['be']],verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=bent,verb: be


60,mij,"*me*
pronoun: me, I
lijkt het leuk om naar het strand te gaan.
Translation: I would like to go to the beach.","lijkt het leuk om naar het strand te gaan.
Translation: I would like to go to the beach.",*me*,"[['me', 'I']]",pronoun,pronoun,https://www.linguee.com/english-dutch/search?source=auto&query=mij,"pronoun: me, I"


61,gaan,"*to go*
verb: go, proceed, work
auxiliary verb: shall
a naar huis. = I'm going home.",a naar huis. = I'm going home.,*to go*,"[['go', 'proceed', 'work', 'walk', 'step', 'wend', 'gang'], ['shall']]",verb auxiliary verb,verb auxiliary verb,https://www.linguee.com/english-dutch/search?source=auto&query=gaan,"verb: go, proceed, work
auxiliary verb: shall"


62,of,"*or*
conjunction: or, either, whether
eb een boek van mijn vriend gekregen. - I received a book from my friend.",eb een boek van mijn vriend gekregen. - I received a book from my friend.,*or*,"[['or', 'either', 'whether']]",conjunction,conjunction,https://www.linguee.com/english-dutch/search?source=auto&query=of,"conjunction: or, either, whether"


63,kom,"*come*
noun: bowl, basin, pelvis
alsjeblieft binnen. Please come in.",alsjeblieft binnen. Please come in.,*come*,"[['bowl', 'basin', 'pelvis']]",noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=kom,"noun: bowl, basin, pelvis"


64,zou,"*would*
verb: will, shall
ou graag naar het strand gaan. - I would like to go to the beach.",ou graag naar het strand gaan. - I would like to go to the beach.,*would*,"[['will', 'shall']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=zou,"verb: will, shall"


65,al,"*already*
adjective: all, every
noun: all
adverb: already, long since
conjunction: though, if only
pronoun: each, everyone
ik naar huis ga, neem ik een taxi. - When I go home, I will take a taxi.","ik naar huis ga, neem ik een taxi. - When I go home, I will take a taxi.",*already*,"[['all', 'every'], ['all'], ['already', 'long since'], ['though', 'if only'], ['each', 'everyone']]",adjective noun adverb conjunction pronoun,adjective noun adverb conjunction pronoun,https://www.linguee.com/english-dutch/search?source=auto&query=al,"adjective: all, every
noun: all
adverb: already, long since
conjunction: though, if only
pronoun: each, everyone"


66,bij,"*bee*
preposition: at, in, to
noun: bee, apis
adjective: up to date
adverb: up to date
eb alleen bij mijn moeder gewoond. - I have only lived with my mother.",eb alleen bij mijn moeder gewoond. - I have only lived with my mother.,*bee*,"[['at', 'in', 'to', 'with', 'by', 'on', 'of', 'upon', 'towards', 'beside', 'over'], ['bee', 'apis'], ['up to date'], ['up to date']]",preposition noun adjective adverb,preposition noun adjective adverb,https://www.linguee.com/english-dutch/search?source=auto&query=bij,"preposition: at, in, to
noun: bee, apis
adjective: up to date
adverb: up to date"


67,daar,"*over there*
adverb: there, yonder
conjunction: as, because, for
 staat een boom, There stands a tree."," staat een boom, There stands a tree.",*over there*,"[['there', 'yonder'], ['as', 'because', 'for', 'inasmuch', 'forasmuch as']]",adverb conjunction,adverb conjunction,https://www.linguee.com/english-dutch/search?source=auto&query=daar,"adverb: there, yonder
conjunction: as, because, for"


68,ons,"*us*
pronoun: us, our, to us
noun: ounce
abbreviation: oz
huis is groot. - Our house is big.",huis is groot. - Our house is big.,*us*,"[['us', 'our', 'to us'], ['ounce'], ['oz']]",pronoun noun abbreviation,pronoun noun abbreviation,https://www.linguee.com/english-dutch/search?source=auto&query=ons,"pronoun: us, our, to us
noun: ounce
abbreviation: oz"


69,jullie,"*you*
pronoun: you, you all
ie zijn de beste! - You guys are the best!",ie zijn de beste! - You guys are the best!,*you*,"[['you', 'you all']]",pronoun,pronoun,https://www.linguee.com/english-dutch/search?source=auto&query=jullie,"pronoun: you, you all"


70,hebt,"*have*
verb: have, possess, own
ebt het goed gedaan. - You have done well.",ebt het goed gedaan. - You have done well.,*have*,"[['have', 'possess', 'own']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=hebt,"verb: have, possess, own"


71,gaat,"*go*
noun: perforation
 gaat naar de winkel."" - He is going to the store."," gaat naar de winkel."" - He is going to the store.",*go*,[['perforation']],noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=gaat,noun: perforation


72,iets,"*something*
pronoun: something, anything, somewhat
adverb: some
noun: aught
heb iets nodig."" - ""I need something.""","heb iets nodig."" - ""I need something.""",*something*,"[['something', 'anything', 'somewhat', 'some'], ['some'], ['aught']]",pronoun adverb noun,pronoun adverb noun,https://www.linguee.com/english-dutch/search?source=auto&query=iets,"pronoun: something, anything, somewhat
adverb: some
noun: aught"


73,zal,"*shall*
auxiliary verb: shall
al morgen komen. - I will come tomorrow.",al morgen komen. - I will come tomorrow.,*shall*,[['shall']],auxiliary verb,auxiliary verb,https://www.linguee.com/english-dutch/search?source=auto&query=zal,auxiliary verb: shall


74,meer,"*more*
adverb: more
pronoun: more
noun: lake, mere, lough
il meer kennis verwerven. - I want to acquire more knowledge.",il meer kennis verwerven. - I want to acquire more knowledge.,*more*,"[['more'], ['more'], ['lake', 'mere', 'lough']]",adverb pronoun noun,adverb pronoun noun,https://www.linguee.com/english-dutch/search?source=auto&query=meer,"adverb: more
pronoun: more
noun: lake, mere, lough"


75,waarom,"*Why*
adverb: why, wherefore
conjunction: why
om heb je het gedaan? - Why did you do it?",om heb je het gedaan? - Why did you do it?,*Why*,"[['why', 'wherefore'], ['why']]",adverb conjunction,adverb conjunction,https://www.linguee.com/english-dutch/search?source=auto&query=waarom,"adverb: why, wherefore
conjunction: why"


76,had,"*had*
verb: have, possess, own
ad al een antwoord op de vraag. - I already had an answer to the question.",ad al een antwoord op de vraag. - I already had an answer to the question.,*had*,"[['have', 'possess', 'own']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=had,"verb: have, possess, own"


77,deze,"*this*
pronoun: this, these, this one
 dag was een geweldige dag. - This day was a great day.", dag was een geweldige dag. - This day was a great day.,*this*,"[['this', 'these', 'this one', 'these ones']]",pronoun,pronoun,https://www.linguee.com/english-dutch/search?source=auto&query=deze,"pronoun: this, these, this one"


78,laat,"*leave*
adjective: late, tardy
adverb: late
 ons samen eten. - Let's eat together.", ons samen eten. - Let's eat together.,*leave*,"[['late', 'tardy'], ['late']]",adjective adverb,adjective adverb,https://www.linguee.com/english-dutch/search?source=auto&query=laat,"adjective: late, tardy
adverb: late"


79,moeten,"*must*
verb: must, need, have to
auxiliary verb: should
oet naar school gaan. - I have to go to school.",oet naar school gaan. - I have to go to school.,*must*,"[['must', 'need', 'have to', 'shall', 'require', 'ought', 'be obliged', 'be due'], ['should']]",verb auxiliary verb,verb auxiliary verb,https://www.linguee.com/english-dutch/search?source=auto&query=moeten,"verb: must, need, have to
auxiliary verb: should"


80,m'n,"*my*
pronoun: my
huis is groot. - My house is big.",huis is groot. - My house is big.,*my*,[['my']],pronoun,pronoun,https://www.linguee.com/english-dutch/search?source=auto&query=m'n,pronoun: my


81,jou,"*you*
pronoun: you, thou
w hulp is erg gewaardeerd."" - ""Your help is greatly appreciated.""","w hulp is erg gewaardeerd."" - ""Your help is greatly appreciated.""",*you*,"[['you', 'thou']]",pronoun,pronoun,https://www.linguee.com/english-dutch/search?source=auto&query=jou,"pronoun: you, thou"


82,doe,"*do*
verb: do, make, perform
het licht aan. - Turn on the light.",het licht aan. - Turn on the light.,*do*,"[['do', 'make', 'perform', 'put', 'cause', 'act', 'bloat']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=doe,"verb: do, make, perform"


