,Dutch,Quizlet,Sentence,English,Alternatives,P-O-S,Quizlet P-O-S,MoreInfo,Quizlet Alternatives
7,afgelopen,"*last*
adjective: over, finished, done
adverb: out
De afgelopen maand was erg koud. - Last month was very cold.",De afgelopen maand was erg koud. - Last month was very cold.,*last*,"[['over', 'finished', 'done', 'ready'], ['out']]",adjective adverb,adjective adverb,https://www.linguee.com/english-dutch/search?source=auto&query=afgelopen,"adjective: over, finished, done
adverb: out"


8,hotel,"*hotel*
noun: hotel
Het hotel is erg mooi. - The hotel is very nice.",Het hotel is erg mooi. - The hotel is very nice.,*hotel*,[['hotel']],noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=hotel,noun: hotel


9,bekend,"*known*
adjective: known, recognized, noted
Deze stad is bekend om haar prachtige architectuur. - This city is known for its beautiful architecture.",Deze stad is bekend om haar prachtige architectuur. - This city is known for its beautiful architecture.,*known*,"[['known', 'recognized', 'noted', 'acquainted', 'notorious', 'knowable', 'well-known', 'far-famed']]",adjective,adjective,https://www.linguee.com/english-dutch/search?source=auto&query=bekend,"adjective: known, recognized, noted"


10,ene,"*one*

""Ik heb ene grote hond."" - ""I have a big dog.""","""Ik heb ene grote hond."" - ""I have a big dog.""",*one*,,,no P-O-S info,https://www.linguee.com/english-dutch/search?source=auto&query=ene,


11,ruimte,"*room*
noun: space, room, area
De ruimte was klein, maar het was gezellig. - The space was small, but it was cozy.","De ruimte was klein, maar het was gezellig. - The space was small, but it was cozy.",*room*,"[['space', 'room', 'area', 'place', 'capacity', 'location', 'aerospace', 'range', 'wideness', 'spot', 'compass', 'largeness']]",noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=ruimte,"noun: space, room, area"


12,lange,"*long*
adjective: long, tall, prolonged
De lange weg naar huis was moeilijk. - The long way home was difficult.",De lange weg naar huis was moeilijk. - The long way home was difficult.,*long*,"[['long', 'tall', 'prolonged', 'protracted', 'longtime', 'lanky', 'great', 'faraway', 'lathy', 'hastate']]",adjective,adjective,https://www.linguee.com/english-dutch/search?source=auto&query=lange,"adjective: long, tall, prolonged"


13,trouwens,"*Incidentally*
adverb: moreover, besides, as a matter of fact
preposition: besides
""Trouwens, ik ben helemaal klaar voor vandaag."" - ""By the way, I'm all set for today.""","""Trouwens, ik ben helemaal klaar voor vandaag."" - ""By the way, I'm all set for today.""",*Incidentally*,"[['moreover', 'besides', 'as a matter of fact'], ['besides']]",adverb preposition,adverb preposition,https://www.linguee.com/english-dutch/search?source=auto&query=trouwens,"adverb: moreover, besides, as a matter of fact
preposition: besides"


14,feest,"*party*
noun: feast, festival, fiesta
adjective: festive
Het feest was geweldig! - The party was great!",Het feest was geweldig! - The party was great!,*party*,"[['feast', 'festival', 'fiesta', 'fete', 'whoopee', 'bean feast'], ['festive']]",noun adjective,noun adjective,https://www.linguee.com/english-dutch/search?source=auto&query=feest,"noun: feast, festival, fiesta
adjective: festive"


15,vliegen,"*to fly*
verb: fly, wing, rush
De vogel vliegt hoog in de lucht. - The bird is flying high in the sky.",De vogel vliegt hoog in de lucht. - The bird is flying high in the sky.,*to fly*,"[['fly', 'wing', 'rush', 'dart', 'flit', 'dash', 'zip', 'tear', 'aviate', 'hurtle']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=vliegen,"verb: fly, wing, rush"


16,boot,"*boat*
noun: boat, ship, launch
De boot vaart op het meer. - The boat is sailing on the lake.",De boot vaart op het meer. - The boat is sailing on the lake.,*boat*,"[['boat', 'ship', 'launch', 'brooch', 'pendant']]",noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=boot,"noun: boat, ship, launch"


17,meester,"*master*
noun: master, lord, maestro
De meester heeft de leerlingen uitgelegd hoe ze de opdracht moeten maken. - The teacher explained to the students how they should complete the task.",De meester heeft de leerlingen uitgelegd hoe ze de opdracht moeten maken. - The teacher explained to the students how they should complete the task.,*master*,"[['master', 'lord', 'maestro', 'proficient', 'guv']]",noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=meester,"noun: master, lord, maestro"


18,doel,"*goal*
noun: purpose, goal, target
Mijn doel is om een goede baan te krijgen. - My goal is to get a good job.",Mijn doel is om een goede baan te krijgen. - My goal is to get a good job.,*goal*,"[['purpose', 'goal', 'target', 'aim', 'object', 'end', 'intention', 'scope', 'intent', 'meaning', 'design', 'plan', 'butt']]",noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=doel,"noun: purpose, goal, target"


19,zolang,"*so long*
conjunction: as long as, so long as
Zolang je hard werkt, zul je succesvol zijn - As long as you work hard, you will be successful.","Zolang je hard werkt, zul je succesvol zijn - As long as you work hard, you will be successful.",*so long*,"[['as long as', 'so long as']]",conjunction,conjunction,https://www.linguee.com/english-dutch/search?source=auto&query=zolang,"conjunction: as long as, so long as"


20,regels,"*lines*
noun: rule, line, norm
De regels zijn duidelijk. - The rules are clear.",De regels zijn duidelijk. - The rules are clear.,*lines*,"[['rule', 'line', 'norm', 'standard', 'observance']]",noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=regels,"noun: rule, line, norm"


21,stomme,"*stupid*
noun: mute, dumb person
De stomme man zei geen woord. - The dumb man said no words.",De stomme man zei geen woord. - The dumb man said no words.,*stupid*,"[['mute', 'dumb person']]",noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=stomme,"noun: mute, dumb person"


22,begonnen,"*started*
verb: start, begin, commence
Ik begonnen met het lezen van het boek. - I started reading the book.",Ik begonnen met het lezen van het boek. - I started reading the book.,*started*,"[['start', 'begin', 'commence', 'start off', 'initiate', 'start out', 'do', 'set up', 'engage in', 'set out', 'set off', 'set about', 'enter upon', 'set to', 'lead off', 'launch forth', 'give a start', 'fall to', 'fall on', 'hansel', 'lead out', 'get about']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=begonnen,"verb: start, begin, commence"


23,zak,"*bag*
noun: bag, pocket, sack
De zak lag op de grond. - The bag was lying on the ground.",De zak lag op de grond. - The bag was lying on the ground.,*bag*,"[['bag', 'pocket', 'sack', 'pouch', 'poke', 'bagful', 'budget', 'sackful']]",noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=zak,"noun: bag, pocket, sack"


24,absoluut,"*absolute*
adverb: absolutely, must needs
adjective: absolute, rank, unquestioning
""Absoluut, ik zal het doen!"" - Absolutely, I will do it!","""Absoluut, ik zal het doen!"" - Absolutely, I will do it!",*absolute*,"[['absolutely', 'must needs'], ['absolute', 'rank', 'unquestioning']]",adverb adjective,adverb adjective,https://www.linguee.com/english-dutch/search?source=auto&query=absoluut,"adverb: absolutely, must needs
adjective: absolute, rank, unquestioning"


25,spreek,"*speak*
adjective: speaking
Ik spreek Engels. - I speak English.",Ik spreek Engels. - I speak English.,*speak*,[['speaking']],adjective,adjective,https://www.linguee.com/english-dutch/search?source=auto&query=spreek,adjective: speaking


26,stom,"*stupid*
adjective: stupid, dumb, mute
adverb: stupidly, vainly
De man was stom verbaasd. - The man was dumbfounded.",De man was stom verbaasd. - The man was dumbfounded.,*stupid*,"[['stupid', 'dumb', 'mute', 'silent', 'speechless', 'goofy', 'goon', 'goosey', 'vain', 'tongueless', 'nitwitted', 'lame-brain', 'mutton-headed', 'wooden-headed'], ['stupidly', 'vainly']]",adjective adverb,adjective adverb,https://www.linguee.com/english-dutch/search?source=auto&query=stom,"adjective: stupid, dumb, mute
adverb: stupidly, vainly"


27,bestaat,"*consists*
verb: exist, subsist, live
Deze stad bestaat al meer dan 100 jaar. - This city has existed for more than 100 years.",Deze stad bestaat al meer dan 100 jaar. - This city has existed for more than 100 years.,*consists*,"[['exist', 'subsist', 'live', 'be afoot']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=bestaat,"verb: exist, subsist, live"


28,welk,"*which*
conjunction: which
pronoun: which, what
Welk boek lees je? - Which book are you reading?",Welk boek lees je? - Which book are you reading?,*which*,"[['which'], ['which', 'what']]",conjunction pronoun,conjunction pronoun,https://www.linguee.com/english-dutch/search?source=auto&query=welk,"conjunction: which
pronoun: which, what"


29,gevaarlijk,"*dangerous*
adjective: dangerous, hazardous, risky
adverb: hazardous, dangerously, in danger
""Het is gevaarlijk om zonder zwemvest te zwemmen."" - It is dangerous to swim without a life jacket.","""Het is gevaarlijk om zonder zwemvest te zwemmen."" - It is dangerous to swim without a life jacket.",*dangerous*,"[['dangerous', 'hazardous', 'risky', 'perilous', 'parlous', 'trappy', 'lively'], ['hazardous', 'dangerously', 'in danger']]",adjective adverb,adjective adverb,https://www.linguee.com/english-dutch/search?source=auto&query=gevaarlijk,"adjective: dangerous, hazardous, risky
adverb: hazardous, dangerously, in danger"


30,jawel,"*Yes*
interjection: Yes!
""Jawel, ik kom eraan!"" - ""Yes, I'm coming!""","""Jawel, ik kom eraan!"" - ""Yes, I'm coming!""",*Yes*,[['Yes!']],interjection,interjection,https://www.linguee.com/english-dutch/search?source=auto&query=jawel,interjection: Yes!


31,mocht,"*if*
verb: may
Mocht ik jouw hulp nodig hebben, zal ik je laten weten.

If I need your help, I will let you know.","Mocht ik jouw hulp nodig hebben, zal ik je laten weten.

If I need your help, I will let you know.",*if*,[['may']],verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=mocht,verb: may


32,goedemorgen,"*Good morning*
interjection: Good morning!
Goedemorgen! - Good morning!",Goedemorgen! - Good morning!,*Good morning*,[['Good morning!']],interjection,interjection,https://www.linguee.com/english-dutch/search?source=auto&query=goedemorgen,interjection: Good morning!


33,wilden,"*wild ones*
verb: want, like, will
""Ze wilden een nieuwe auto kopen."" - They wanted to buy a new car.","""Ze wilden een nieuwe auto kopen."" - They wanted to buy a new car.",*wild ones*,"[['want', 'like', 'will', 'mean']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=wilden,"verb: want, like, will"


34,erger,"*worse*
adjective: worse
adverb: worse
Het kan nog erger worden. - It can get worse.",Het kan nog erger worden. - It can get worse.,*worse*,"[['worse'], ['worse']]",adjective adverb,adjective adverb,https://www.linguee.com/english-dutch/search?source=auto&query=erger,"adjective: worse
adverb: worse"


35,vreselijk,"*horrible*
adjective: terrible, horrible, dreadful
adverb: terribly, awfully, fearfully
Mijn klasgenoten vonden mijn kunstwerk vreselijk. - My classmates found my artwork terrible.",Mijn klasgenoten vonden mijn kunstwerk vreselijk. - My classmates found my artwork terrible.,*horrible*,"[['terrible', 'horrible', 'dreadful', 'fearful', 'awesome', 'frightful', 'horrific', 'tremendous', 'fearsome', 'dread', 'formidable', 'deadly', 'lurid'], ['terribly', 'awfully', 'fearfully', 'frightfully', 'fearsomely', 'deadly', 'beastly']]",adjective adverb,adjective adverb,https://www.linguee.com/english-dutch/search?source=auto&query=vreselijk,"adjective: terrible, horrible, dreadful
adverb: terribly, awfully, fearfully"


36,zodra,"*as soon*
conjunction: once, as soon as, as ever
adverb: instantly, directly
Zodra ik vrij ben, ga ik naar het strand. - As soon as I'm free, I'm going to the beach.","Zodra ik vrij ben, ga ik naar het strand. - As soon as I'm free, I'm going to the beach.",*as soon*,"[['once', 'as soon as', 'as ever'], ['instantly', 'directly']]",conjunction adverb,conjunction adverb,https://www.linguee.com/english-dutch/search?source=auto&query=zodra,"conjunction: once, as soon as, as ever
adverb: instantly, directly"


37,geraakt,"*touched*
adjective: resentful, peeved
adverb: resentfully
Ik ben geraakt door je verhaal. - I was touched by your story.",Ik ben geraakt door je verhaal. - I was touched by your story.,*touched*,"[['resentful', 'peeved'], ['resentfully']]",adjective adverb,adjective adverb,https://www.linguee.com/english-dutch/search?source=auto&query=geraakt,"adjective: resentful, peeved
adverb: resentfully"


38,nadat,"*once*
conjunction: after, how
Nadat ik mijn huiswerk had gemaakt, ging ik naar buiten.

After I had finished my homework, I went outside.","Nadat ik mijn huiswerk had gemaakt, ging ik naar buiten.

After I had finished my homework, I went outside.",*once*,"[['after', 'how']]",conjunction,conjunction,https://www.linguee.com/english-dutch/search?source=auto&query=nadat,"conjunction: after, how"


39,vertrouw,"*trust*

Ik vertrouw hem niet. - I don't trust him.",Ik vertrouw hem niet. - I don't trust him.,*trust*,,,no P-O-S info,https://www.linguee.com/english-dutch/search?source=auto&query=vertrouw,


40,kolonel,"*colonel*
noun: colonel
De kolonel was de hoogste rang in het leger. - The colonel was the highest rank in the army.",De kolonel was de hoogste rang in het leger. - The colonel was the highest rank in the army.,*colonel*,[['colonel']],noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=kolonel,noun: colonel


41,voelde,"*felt*
verb: feel, sense, emote
Ik voelde me verdrietig. - I felt sad.",Ik voelde me verdrietig. - I felt sad.,*felt*,"[['feel', 'sense', 'emote', 'grope', 'sensate', 'fumble up', 'poke']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=voelde,"verb: feel, sense, emote"


42,kleren,"*clothes*
noun: clothes, clothing, dress
Ik heb geen kleren nodig.  - I don't need any clothes.",Ik heb geen kleren nodig.  - I don't need any clothes.,*clothes*,"[['clothes', 'clothing', 'dress', 'wear', 'wardrobe', 'investor']]",noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=kleren,"noun: clothes, clothing, dress"


43,rug,"*back*
noun: back, spine, ridge
De kat heeft een zachte rug. - The cat has a soft back.",De kat heeft een zachte rug. - The cat has a soft back.,*back*,"[['back', 'spine', 'ridge', 'backrest', 'dorsal', 'hinterland']]",noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=rug,"noun: back, spine, ridge"


44,naast,"*next*
adjective: next, nearest, next-door
adverb: next, nigh
preposition: next to, beside, off
phrase: within an inch
Mijn huis staat naast de bakker. - My house is next to the bakery.",Mijn huis staat naast de bakker. - My house is next to the bakery.,*next*,"[['next', 'nearest', 'next-door'], ['next', 'nigh'], ['next to', 'beside', 'off', 'by', 'alongside of', 'by the side of'], ['within an inch']]",adjective adverb preposition phrase,adjective adverb preposition phrase,https://www.linguee.com/english-dutch/search?source=auto&query=naast,"adjective: next, nearest, next-door
adverb: next, nigh
preposition: next to, beside, off
phrase: within an inch"


45,totdat,"*until*
conjunction: until, till, as far as
Totdat hij klaar was, had hij hard gewerkt. - Until he was finished, he had worked hard.","Totdat hij klaar was, had hij hard gewerkt. - Until he was finished, he had worked hard.",*until*,"[['until', 'till', 'as far as']]",conjunction,conjunction,https://www.linguee.com/english-dutch/search?source=auto&query=totdat,"conjunction: until, till, as far as"


46,verliefd,"*in love*
adjective: in love, amorous, sweet
Ik ben verliefd op jou. - I'm in love with you.",Ik ben verliefd op jou. - I'm in love with you.,*in love*,"[['in love', 'amorous', 'sweet', 'nutty', 'enamoured']]",adjective,adjective,https://www.linguee.com/english-dutch/search?source=auto&query=verliefd,"adjective: in love, amorous, sweet"


47,lukt,"*succeeds*
verb: work out
Het lukt me niet om de klus te klaren. - It's not working out for me to finish the job.",Het lukt me niet om de klus te klaren. - It's not working out for me to finish the job.,*succeeds*,[['work out']],verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=lukt,verb: work out


48,wonen,"*living*
verb: live, dwell, reside
Ik wil in Amsterdam wonen. - I want to live in Amsterdam.",Ik wil in Amsterdam wonen. - I want to live in Amsterdam.,*living*,"[['live', 'dwell', 'reside', 'home', 'inhabit', 'stay', 'house', 'abide', 'lodge', 'keep']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=wonen,"verb: live, dwell, reside"


49,lieve,"*dear*
noun: dear
Lieve vrienden, bedankt voor je steun. Dear friends, thank you for your support.","Lieve vrienden, bedankt voor je steun. Dear friends, thank you for your support.",*dear*,[['dear']],noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=lieve,noun: dear


50,gaten,"*holes*
noun: hole, gap, opening
De muur had gaten waardoor het licht naar binnen kwam. - The wall had holes through which the light came in.",De muur had gaten waardoor het licht naar binnen kwam. - The wall had holes through which the light came in.,*holes*,"[['hole', 'gap', 'opening', 'aperture', 'pothole', 'backside', 'rump', 'jag', 'pockmark']]",noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=gaten,"noun: hole, gap, opening"


51,raar,"*weird*
adjective: strange, funny, queer
adverb: strangely, queerly, curiously
Het is raar dat het weer zo onvoorspelbaar is. - It is strange that the weather is so unpredictable.",Het is raar dat het weer zo onvoorspelbaar is. - It is strange that the weather is so unpredictable.,*weird*,"[['strange', 'funny', 'queer', 'peculiar', 'curious', 'rum'], ['strangely', 'queerly', 'curiously']]",adjective adverb,adjective adverb,https://www.linguee.com/english-dutch/search?source=auto&query=raar,"adjective: strange, funny, queer
adverb: strangely, queerly, curiously"


52,geprobeerd,"*tried*
verb: try, attempt, endeavor
Ik heb geprobeerd de oefening te begrijpen. - I tried to understand the exercise.",Ik heb geprobeerd de oefening te begrijpen. - I tried to understand the exercise.,*tried*,"[['try', 'attempt', 'endeavor', 'test', 'sample', 'give it a try', 'prove', 'endeavour']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=geprobeerd,"verb: try, attempt, endeavor"


53,geleerd,"*learned*
adjective: learned, studied, educated
Ik heb veel geleerd van deze ervaring. - I have learned a lot from this experience.",Ik heb veel geleerd van deze ervaring. - I have learned a lot from this experience.,*learned*,"[['learned', 'studied', 'educated', 'scholarly', 'erudite', 'cultured', 'lettered', 'well-informed']]",adjective,adjective,https://www.linguee.com/english-dutch/search?source=auto&query=geleerd,"adjective: learned, studied, educated"


54,erover,"*about it*

Erover praten - Let's talk about it.",Erover praten - Let's talk about it.,*about it*,,,no P-O-S info,https://www.linguee.com/english-dutch/search?source=auto&query=erover,


55,raad,"*council*
noun: advice, council, counsel
De raad heeft het voorstel aangenomen. - The council has accepted the proposal.",De raad heeft het voorstel aangenomen. - The council has accepted the proposal.,*council*,"[['advice', 'council', 'counsel', 'conservancy', 'senate', 'rede', 'word', 'councillor']]",noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=raad,"noun: advice, council, counsel"


56,volg,"*follow*
verb: follow, track, attend
Volg me alsjeblieft. = Please follow me.",Volg me alsjeblieft. = Please follow me.,*follow*,"[['follow', 'track', 'attend', 'pursue', 'watch', 'ensue', 'stick to', 'go along', 'go with', 'string along', 'tread on heels', 'tail']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=volg,"verb: follow, track, attend"


57,verkopen,"*to sell*
verb: sell, market, auctioneer
Ik verkoop mijn auto. - I am selling my car.",Ik verkoop mijn auto. - I am selling my car.,*to sell*,"[['sell', 'market', 'auctioneer', 'place']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=verkopen,"verb: sell, market, auctioneer"


58,geweldige,"*great*
adjective: immense, violent, colossal
Deze geweldige film is echt de moeite waard!
This great movie is really worth it!","Deze geweldige film is echt de moeite waard!
This great movie is really worth it!",*great*,"[['immense', 'violent', 'colossal', 'prodigious', 'terrifying', 'titanic', 'strongarm', 'swingeing', 'thumping', 'high']]",adjective,adjective,https://www.linguee.com/english-dutch/search?source=auto&query=geweldige,"adjective: immense, violent, colossal"


59,zover,"*as far*
adverb: so far as, so far
conjunction: so far as
Ik ben nog niet zo ver gekomen. - I haven't gotten so far yet.",Ik ben nog niet zo ver gekomen. - I haven't gotten so far yet.,*as far*,"[['so far as', 'so far'], ['so far as']]",adverb conjunction,adverb conjunction,https://www.linguee.com/english-dutch/search?source=auto&query=zover,"adverb: so far as, so far
conjunction: so far as"


60,red,"*ed*
adjective: ginger
De lucht was rood van de zonsondergang. - The sky was red from the sunset.",De lucht was rood van de zonsondergang. - The sky was red from the sunset.,*ed*,[['ginger']],adjective,adjective,https://www.linguee.com/english-dutch/search?source=auto&query=red,adjective: ginger


61,woont,"*lives*
verb: live, dwell, reside
Hij woont in Amsterdam. - He lives in Amsterdam.",Hij woont in Amsterdam. - He lives in Amsterdam.,*lives*,"[['live', 'dwell', 'reside', 'home', 'inhabit', 'stay', 'house', 'abide', 'lodge', 'keep']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=woont,"verb: live, dwell, reside"


62,Amerika,"*America*
noun: America
Amerika is een groot land. - America is a large country.",Amerika is een groot land. - America is a large country.,*America*,[['America']],noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=Amerika,noun: America


63,lul,"*dick*
noun: cock, prick
De lul van mijn broer is zo luidruchtig. - My brother's fool is so noisy.",De lul van mijn broer is zo luidruchtig. - My brother's fool is so noisy.,*dick*,"[['cock', 'prick']]",noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=lul,"noun: cock, prick"


64,gedacht,"*thought*
verb: think, think of, conceive
Ik heb gedacht dat het een goed idee was. - I thought it was a good idea.",Ik heb gedacht dat het een goed idee was. - I thought it was a good idea.,*thought*,"[['think', 'think of', 'conceive', 'intend', 'reckon', 'guess', 'fancy', 'cogitate', 'ween', 'trow']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=gedacht,"verb: think, think of, conceive"


65,bewijzen,"*prove*
verb: prove, evidence, show
De rechter moest bewijzen dat de verdachte schuldig was. - The judge had to prove that the suspect was guilty.",De rechter moest bewijzen dat de verdachte schuldig was. - The judge had to prove that the suspect was guilty.,*prove*,"[['prove', 'evidence', 'show', 'demonstrate', 'establish', 'render', 'argue', 'manifest', 'evince', 'vouch', 'aver']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=bewijzen,"verb: prove, evidence, show"


66,prijs,"*price*
noun: price, value, rate
De prijs van deze auto is erg hoog. - The price of this car is very high.",De prijs van deze auto is erg hoog. - The price of this car is very high.,*price*,"[['price', 'value', 'rate', 'prize', 'cost', 'charge', 'premium', 'meed', 'capture', 'pot']]",noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=prijs,"noun: price, value, rate"


67,www,"*www*

www staat voor World Wide Web - WWW stands for World Wide Web.",www staat voor World Wide Web - WWW stands for World Wide Web.,*www*,,,no P-O-S info,https://www.linguee.com/english-dutch/search?source=auto&query=www,


68,raken,"*touch*
verb: hit, affect, catch
De bal raakte de muur. - The ball hit the wall.",De bal raakte de muur. - The ball hit the wall.,*touch*,"[['hit', 'affect', 'catch', 'impinge', 'interest', 'make a hit', 'pip', 'strike home', 'sock']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=raken,"verb: hit, affect, catch"


69,voorstellen,"*to suggest*
verb: propose, suggest, introduce
Ik stel mezelf voor - I introduce myself",Ik stel mezelf voor - I introduce myself,*to suggest*,"[['propose', 'suggest', 'introduce', 'present', 'represent', 'figure', 'depict', 'table', 'propound', 'impersonate', 'depicture', 'token', 'personate', 'image', 'symbolize', 'hold out']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=voorstellen,"verb: propose, suggest, introduce"


70,vorige,"*previous*
adjective: last, previous, former
De vorige dag was het zonnig. - The previous day was sunny.",De vorige dag was het zonnig. - The previous day was sunny.,*previous*,"[['last', 'previous', 'former', 'late', 'overpast', 'whilom']]",adjective,adjective,https://www.linguee.com/english-dutch/search?source=auto&query=vorige,"adjective: last, previous, former"


71,regel,"*rule*
noun: rule, line, norm
De regel is dat iedereen op tijd moet komen. - The rule is that everyone must arrive on time.",De regel is dat iedereen op tijd moet komen. - The rule is that everyone must arrive on time.,*rule*,"[['rule', 'line', 'norm', 'standard', 'observance']]",noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=regel,"noun: rule, line, norm"


72,schrijven,"*to write*
verb: write, pen, scribe
noun: missive
Ik schrijf elke dag in mijn dagboek. - I write in my diary every day.",Ik schrijf elke dag in mijn dagboek. - I write in my diary every day.,*to write*,"[['write', 'pen', 'scribe', 'encode'], ['missive']]",verb noun,verb noun,https://www.linguee.com/english-dutch/search?source=auto&query=schrijven,"verb: write, pen, scribe
noun: missive"


73,rot,"*rotten*
noun: rot, squad, rat
adjective: rotten, putrid, carious
De appel is rot. - The apple is rotten.",De appel is rot. - The apple is rotten.,*rotten*,"[['rot', 'squad', 'rat', 'file', 'pile'], ['rotten', 'putrid', 'carious']]",noun adjective,noun adjective,https://www.linguee.com/english-dutch/search?source=auto&query=rot,"noun: rot, squad, rat
adjective: rotten, putrid, carious"


74,gebouw,"*building*
noun: building, construction, edifice
Het gebouw is heel groot. - The building is very big.",Het gebouw is heel groot. - The building is very big.,*building*,"[['building', 'construction', 'edifice', 'place']]",noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=gebouw,"noun: building, construction, edifice"


