,Dutch,Quizlet
82,overwinning,"noun, victory win conquest"
83,behandeling,"noun, treatment handling therapy"
84,belofte,"noun, promise pledge vow"
85,bekeken,"verb, see look at look into"
86,breekt,"verb, break rupture smash"
87,jarige,"No Google Info, No Google Info"
88,training,"noun, workout"
89,artikel,"noun, article item section"
90,stelletje,"noun, suit outfit"
91,kloppen,"verb, knock beat hit"
92,maakten,"verb, make do build"
93,verrast,"verb, surprise overtake take aback"
94,beroep,"noun, profession occupation trade"
95,honderden,"noun, hundred cent"
96,zette,"verb, put set place"
97,waardeloos,"adjective, worthless valueless nugatory"
98,rechtbank,"noun, court tribunal law court"
99,Robin,"No Google Info, No Google Info"
100,wijzen,"verb, point show advert"
101,vingerafdrukken,"noun, fingerprint finger mark"
102,bleek,"adjective, pale wan pallid"
103,maagd,"noun, virgin maiden maid"
104,camera's,"noun, camera"
105,China,"noun, China"
106,personeel,"noun, staff personnel manpower"
107,minstens,"adverb, at least"
108,schitterend,"No Google Info, No Google Info"
109,diegene,"No Google Info, No Google Info"
110,starten,"verb, start take off blast off"
111,geheel,"adjective, whole entire overall"
112,jeugd,"noun, youth puppyhood"
113,berichten,"verb, report inform communicate"
114,mensheid,"noun, humanity mankind humankind"
115,gepland,"No Google Info, No Google Info"
116,ramp,"noun, disaster catastrophe calamity"
117,onderwerp,"noun, subject topic object"
118,Californië,"noun, California"
119,zwembad,"noun, swimming pool swimming bath piscine"
120,explosie,"noun, explosion"
121,ha,"interjection, Aha!"
122,duurde,"verb, last continue endure"
123,noch,"conjunction, nor neither"
124,sliep,"verb, sleep lie doss"
125,redelijk,"adjective, reasonable rational tolerable"
126,excuus,"noun, excuse"
127,moge,"No Google Info, No Google Info"
128,smeek,"verb, beg beseech implore"
129,geintje,"noun, nifty"
130,pen,"noun, pen pin quill"
131,terroristen,"noun, terrorist"
132,boerderij,"noun, ranch farmstead property"
133,belangrijker,"No Google Info, No Google Info"
134,burger,"noun, citizen commoner burgess"
135,doodt,"verb, kill slay jugulate"
136,overtuigen,"verb, convince persuade satisfy"
137,nep,"No Google Info, No Google Info"
138,diamanten,"adjective, diamond"
139,aap,"noun, monkey ape simian"
140,ophangen,"verb, hang hang up suspend"
141,verderop,"adverb, beyond hereafter"
142,jacht,"noun, yacht hunting hunt"
143,masker,"noun, mask masque disguise"
144,mars,"noun, march pack hike"
145,onthouden,"verb, remember withhold deny"
146,kleding,"noun, clothing clothes dress"
147,schaduw,"noun, shadow shade"
148,overkomt,"verb, overcome befall seem"
149,bovendien,"adverb, also moreover furthermore"
150,Duitse,"adjective, German Germanic"
151,fearless,"No Google Info, No Google Info"
152,walgelijk,"adjective, loathsome abominable nauseous"
153,amen,"noun, amen"
154,richt,"verb, set address aim"
155,dwars,"adjective, cross transverse transversal"
156,vriendschap,"noun, friendship amity"
157,7Up,"No Google Info, No Google Info"
158,slang,"noun, hose snake serpent"
159,gouverneur,"noun, governor tutor governor general"
160,touw,"noun, rope string cord"
161,onthoud,"verb, remember withhold deny"
162,daarbij,"adverb, thereby besides therewithal"
163,zand,"noun, sand"
164,plicht,"noun, duty obligation onus"
165,trok,"verb, attract draw pull"
166,wegkomt,"No Google Info, No Google Info"
167,onschuldige,"noun, innocent"
168,collega,"noun, colleague brother yokefellow"
169,onszelf,"pronoun, ourselves ourself"
170,voorbereid,"verb, prepare prime make ready"
171,haalde,"verb, catch fetch bring"
172,Greg,"No Google Info, No Google Info"
173,verwijderd,"adverb, off"
174,veranderde,"verb, change alter turn"
175,gunst,"noun, favor grace boon"
176,okee,"interjection, Okay! O.k.! Ok!"
177,leden,"noun, membership following supporters"
178,wassen,"verb, wash wax launder"
179,win,"verb, win gain earn"
180,gepleegd,"verb, commit perpetrate accustom"
181,snijden,"verb, cut intersect carve"
182,Frans,"adjective, French Gallic Gaulish"
183,reputatie,"noun, reputation report note"
184,teleurgesteld,"verb, disappoint fail falsify"
185,letten,"No Google Info, No Google Info"
186,uniform,"adjective, uniform level self"
187,verklaren,"verb, explain state certify"
188,monsters,"noun, sample monster specimen"
189,fan,"noun, fan"
190,bruid,"noun, bride fiancee"
191,overheid,"noun, government authorities"
192,enterprise,"No Google Info, No Google Info"
193,gewaarschuwd,"verb, warn admonish caution"
194,daarbuiten,"adverb, outside out"
195,daarover,"No Google Info, No Google Info"
196,leest,"noun, last waistline waist"
197,gezondheid,"noun, health healthiness soundness"
198,geliefde,"noun, lover love sweetheart"
199,ontmoeting,"noun, meeting encounter"
