,Spanish,Quizlet,English,lemma forms,Alternatives,P-O-S,Quizlet P-O-S,MoreInfo,Quizlet Alternatives
14,*arriesgar*,"*risk*
verb: risk, jeopardize, hazard",*risk*,arriesgar,"[['risk', 'jeopardize', 'hazard', 'endanger', 'take a chance', 'dare', 'imperil', 'adventure', 'run the risk']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=arriesgar,"verb: risk, jeopardize, hazard"


15,*arabia* (Arabia arabio),"*arabia*
",*arabia*,Arabia arabio,,,no P-O-S info,https://www.linguee.com/english-dutch/search?source=auto&query=arabia,


16,*vital*,"*vital*
adjective: vital, life",*vital*,vital,"[['vital', 'life']]",adjective,adjective,https://www.linguee.com/english-dutch/search?source=auto&query=vital,"adjective: vital, life"


17,*túneles* (túnel),"*tunnels*
noun: tunnel",*tunnels*,túnel,[['tunnel']],noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=túneles,noun: tunnel


18,*transferencia*,"*transfer*
noun: transfer, transference",*transfer*,transferencia,"[['transfer', 'transference']]",noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=transferencia,"noun: transfer, transference"


19,*suicidó* (suicidar),"*committed suicide*
",*committed suicide*,suicidar,,,no P-O-S info,https://www.linguee.com/english-dutch/search?source=auto&query=suicidó,


20,*sucios* (sucio),"*dirty*
adjective: dirty, unclean, grubby",*dirty*,sucio,"[['dirty', 'unclean', 'grubby', 'dingy', 'nasty', 'unwashed', 'impure', 'feculent']]",adjective,adjective,https://www.linguee.com/english-dutch/search?source=auto&query=sucios,"adjective: dirty, unclean, grubby"


21,*seguida* (en seguida seguido seguir),"*followed*
noun: normal way, proper rhythm, habitual speed",*followed*,en seguida seguido seguir,"[['normal way', 'proper rhythm', 'habitual speed']]",noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=seguida,"noun: normal way, proper rhythm, habitual speed"


22,*regresamos* (regresar),"*we came back*
verb: return, go back, come back",*we came back*,regresar,"[['return', 'go back', 'come back', 'get back', 'take back', 'put back', 'call back', 'throw back']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=regresamos,"verb: return, go back, come back"


23,*recibirá* (recibir),"*will receive*
verb: receive, get, welcome",*will receive*,recibir,"[['receive', 'get', 'welcome', 'take in', 'bow in']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=recibirá,"verb: receive, get, welcome"


24,*oculto* (oculto ocultar),"*hidden*
adjective: hidden, occult, unseen",*hidden*,oculto ocultar,"[['hidden', 'occult', 'unseen', 'covert']]",adjective,adjective,https://www.linguee.com/english-dutch/search?source=auto&query=oculto,"adjective: hidden, occult, unseen"


25,*honorable*,"*honorable*
adjective: honorable, worshipful, honourable",*honorable*,honorable,"[['honorable', 'worshipful', 'honourable']]",adjective,adjective,https://www.linguee.com/english-dutch/search?source=auto&query=honorable,"adjective: honorable, worshipful, honourable"


26,*hmm*,"*hmm*
",*hmm*,hmm,,,no P-O-S info,https://www.linguee.com/english-dutch/search?source=auto&query=hmm,


27,*generaciones* (generación),"*generations*
noun: generation",*generations*,generación,[['generation']],noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=generaciones,noun: generation


28,*escolar*,"*school*
adjective: school, academic, academical
noun: scholastic, schoolboy",*school*,escolar,"[['school', 'academic', 'academical'], ['scholastic', 'schoolboy']]",adjective noun,adjective noun,https://www.linguee.com/english-dutch/search?source=auto&query=escolar,"adjective: school, academic, academical
noun: scholastic, schoolboy"


29,*dámela* (dar),"*give it to me*
",*give it to me*,dar,,,no P-O-S info,https://www.linguee.com/english-dutch/search?source=auto&query=dámela,


30,*controlado* (controlado controlar),"*checked*
adjective: checked, sparing",*checked*,controlado controlar,"[['checked', 'sparing']]",adjective,adjective,https://www.linguee.com/english-dutch/search?source=auto&query=controlado,"adjective: checked, sparing"


31,*constantemente*,"*constantly*
adverb: constantly, continually, forever",*constantly*,constantemente,"[['constantly', 'continually', 'forever', 'habitually', 'day in day out', 'day to day']]",adverb,adverb,https://www.linguee.com/english-dutch/search?source=auto&query=constantemente,"adverb: constantly, continually, forever"


32,*cheques* (cheque),"*checks*
noun: check, cheque",*checks*,cheque,"[['check', 'cheque']]",noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=cheques,"noun: check, cheque"


33,*bromeo* (bromear),"*I kid*
verb: joke, banter, jest",*I kid*,bromear,"[['joke', 'banter', 'jest', 'fun', 'play', 'fool', 'fool around', 'spoof', 'deride', 'jape', 'kid on', 'jive']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=bromeo,"verb: joke, banter, jest"


34,*australia* (Australia),"*Australia*
noun: Australia",*Australia*,Australia,[['Australia']],noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=australia,noun: Australia


35,*asegurarnos* (asegurar),"*make sure*
",*make sure*,asegurar,,,no P-O-S info,https://www.linguee.com/english-dutch/search?source=auto&query=asegurarnos,


36,*apetito*,"*appetite*
noun: appetite, relish",*appetite*,apetito,"[['appetite', 'relish']]",noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=apetito,"noun: appetite, relish"


37,*vivió* (vivir),"*lived*
verb: live, live on, reside",*lived*,vivir,"[['live', 'live on', 'reside', 'live up', 'live through', 'exist', 'do', 'breathe', 'hang out']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=vivió,"verb: live, live on, reside"


38,*vías* (vía),"*pathways*
noun: track, way, line",*pathways*,vía,"[['track', 'way', 'line', 'lane', 'platform', 'tack']]",noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=vías,"noun: track, way, line"


39,*piden* (pedir),"*they ask*
verb: ask, request, ask for",*they ask*,pedir,"[['ask', 'request', 'ask for', 'order', 'demand', 'call for', 'require', 'apply for', 'inquire', 'invite', 'sue for', 'crave', 'charge', 'indent for', 'treat', 'postulate for', 'supplicate']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=piden,"verb: ask, request, ask for"


40,*órbita*,"*orbit*
noun: orbit, socket, path",*orbit*,órbita,"[['orbit', 'socket', 'path']]",noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=órbita,"noun: orbit, socket, path"


41,*manzanas* (manzana),"*apples*
noun: apple, block, square",*apples*,manzana,"[['apple', 'block', 'square']]",noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=manzanas,"noun: apple, block, square"


42,*interesantes* (interesante),"*interesting*
adjective: interesting, intriguing, cool",*interesting*,interesante,"[['interesting', 'intriguing', 'cool', 'absorbing', 'refreshing']]",adjective,adjective,https://www.linguee.com/english-dutch/search?source=auto&query=interesantes,"adjective: interesting, intriguing, cool"


43,*herir*,"*hurt*
verb: hurt, injure, wound",*hurt*,herir,"[['hurt', 'injure', 'wound', 'strike', 'smite', 'offend', 'hit', 'bruise', 'pierce', 'shoot', 'spite', 'cripple', 'pinch', 'pique', 'cut up', 'lacerate']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=herir,"verb: hurt, injure, wound"


44,*exámenes* (examen),"*exams*
noun: examination, review, exam",*exams*,examen,"[['examination', 'review', 'exam', 'test', 'inspection', 'quiz', 'checkup', 'inquiry', 'sight']]",noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=exámenes,"noun: examination, review, exam"


45,*enfadada* (enfadado enfadar),"*angry*
adjective: angry, cross, vexed",*angry*,enfadado enfadar,"[['angry', 'cross', 'vexed', 'huffy', 'ratty', 'snuffy', 'aggravating']]",adjective,adjective,https://www.linguee.com/english-dutch/search?source=auto&query=enfadada,"adjective: angry, cross, vexed"


46,*cuadras* (cuadra),"*blocks*
noun: riding stables",*blocks*,cuadra,[['riding stables']],noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=cuadras,noun: riding stables


47,*cometí* (cometer),"*I committed*
verb: commit, make, foul",*I committed*,cometer,"[['commit', 'make', 'foul']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=cometí,"verb: commit, make, foul"


48,*colorado* (colorado colorar),"*Colorado*
adjective: red, colored, scarlet",*Colorado*,colorado colorar,"[['red', 'colored', 'scarlet', 'dyed', 'coloured']]",adjective,adjective,https://www.linguee.com/english-dutch/search?source=auto&query=colorado,"adjective: red, colored, scarlet"


49,*asia* (Asia),"*Asia*
noun: Asia",*Asia*,Asia,[['Asia']],noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=asia,noun: Asia


50,*término*,"*term*
noun: term, end, word",*term*,término,"[['term', 'end', 'word', 'terminus', 'concept', 'definition', 'finisher']]",noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=término,"noun: term, end, word"


51,*síndrome*,"*syndrome*
noun: syndrome",*syndrome*,síndrome,[['syndrome']],noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=síndrome,noun: syndrome


52,*refrigerador*,"*fridge*
noun: refrigerator",*fridge*,refrigerador,[['refrigerator']],noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=refrigerador,noun: refrigerator


53,*ofrezco* (ofrecer),"*I offer*
verb: offer, give, present",*I offer*,ofrecer,"[['offer', 'give', 'present', 'feature', 'offer up', 'extend', 'yield', 'bid', 'proffer', 'hire', 'tout', 'bargain', 'hold out', 'hand around', 'hand round', 'put up', 'tender']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=ofrezco,"verb: offer, give, present"


54,*mentiste* (mentir),"*you lied*
verb: lie, tell a lie, prevaricate",*you lied*,mentir,"[['lie', 'tell a lie', 'prevaricate', 'fib']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=mentiste,"verb: lie, tell a lie, prevaricate"


55,*mecanismo*,"*mechanism*
noun: mechanism, machinery, device",*mechanism*,mecanismo,"[['mechanism', 'machinery', 'device', 'gear', 'works']]",noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=mecanismo,"noun: mechanism, machinery, device"


56,*manejarlo* (manejar),"*handle it*
",*handle it*,manejar,,,no P-O-S info,https://www.linguee.com/english-dutch/search?source=auto&query=manejarlo,


57,*especialista*,"*specialist*
noun: specialist, expert, stuntman",*specialist*,especialista,"[['specialist', 'expert', 'stuntman', 'stuntwoman']]",noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=especialista,"noun: specialist, expert, stuntman"


58,*dejarlos* (dejar),"*leave them*
",*leave them*,dejar,,,no P-O-S info,https://www.linguee.com/english-dutch/search?source=auto&query=dejarlos,


59,*crucero*,"*cruise*
noun: cruise, cruiser, transept",*cruise*,crucero,"[['cruise', 'cruiser', 'transept', 'crossroads', 'battle cruiser', 'ocean cruiser']]",noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=crucero,"noun: cruise, cruiser, transept"


60,*avísame* (avisar),"*let me know*
",*let me know*,avisar,,,no P-O-S info,https://www.linguee.com/english-dutch/search?source=auto&query=avísame,


61,*ardiendo* (arder),"*ablaze*
adjective: ablaze, afire
adverb: afire, alight",*ablaze*,arder,"[['ablaze', 'afire'], ['afire', 'alight']]",adjective adverb,adjective adverb,https://www.linguee.com/english-dutch/search?source=auto&query=ardiendo,"adjective: ablaze, afire
adverb: afire, alight"


62,*saludar*,"*greet*
verb: greet, salute, hail",*greet*,saludar,"[['greet', 'salute', 'hail', 'acknowledge']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=saludar,"verb: greet, salute, hail"


63,*papito* (papito papá),"*daddy*
noun: daddy",*daddy*,papito papá,[['daddy']],noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=papito,noun: daddy


64,*oficio*,"*job*
noun: job, office, trade",*job*,oficio,"[['job', 'office', 'trade', 'craft', 'profession', 'occupation', 'service', 'skill', 'role', 'position', 'career', 'function', 'metier', 'post', 'enterprise', 'walks of life', 'career office']]",noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=oficio,"noun: job, office, trade"


65,*metieron* (meter),"*they put*
verb: put, insert, place",*they put*,meter,"[['put', 'insert', 'place', 'shove', 'dip', 'thrust', 'introduce', 'sink', 'engage', 'involve', 'tuck in', 'enclose', 'stow', 'intrude', 'log in', 'inclose', 'jug', 'fay', 'throw on']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=metieron,"verb: put, insert, place"


66,*estadounidenses* (estadounidense),"*Americans*
",*Americans*,estadounidense,,,no P-O-S info,https://www.linguee.com/english-dutch/search?source=auto&query=estadounidenses,


67,*divertirnos* (divertir),"*have fun*
",*have fun*,divertir,,,no P-O-S info,https://www.linguee.com/english-dutch/search?source=auto&query=divertirnos,


68,*cuentan* (contar),"*count*
verb: count, tell, reckon",*count*,contar,"[['count', 'tell', 'reckon', 'recount', 'number', 'relate', 'narrate', 'bank', 'calculate', 'spin', 'pitch', 'peddle', 'yarn', 'check', 'retail']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=cuentan,"verb: count, tell, reckon"


69,*toneladas* (tonelada),"*tons*
noun: ton, tonne",*tons*,tonelada,"[['ton', 'tonne']]",noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=toneladas,"noun: ton, tonne"


70,*tobillo*,"*ankle*
noun: ankle",*ankle*,tobillo,[['ankle']],noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=tobillo,noun: ankle


71,*técnico*,"*technical*
adjective: technical
noun: technician, expert, repairman",*technical*,técnico,"[['technical'], ['technician', 'expert', 'repairman']]",adjective noun,adjective noun,https://www.linguee.com/english-dutch/search?source=auto&query=técnico,"adjective: technical
noun: technician, expert, repairman"


72,*saudita* (Arabia Saudita),"*saudi*
",*saudi*,Arabia Saudita,,,no P-O-S info,https://www.linguee.com/english-dutch/search?source=auto&query=saudita,


73,*salvador*,"*savior*
noun: savior, rescuer, saver",*savior*,salvador,"[['savior', 'rescuer', 'saver', 'redeemer', 'life guard', 'saviour']]",noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=salvador,"noun: savior, rescuer, saver"


74,*sabré* (saber),"*i will know*
verb: know, realize, taste",*i will know*,saber,"[['know', 'realize', 'taste', 'be conscious of']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=sabré,"verb: know, realize, taste"


75,*presta* (prestar),"*lend*
verb: lend, give, render",*lend*,prestar,"[['lend', 'give', 'render', 'loan', 'lend out', 'advance']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=presta,"verb: lend, give, render"


76,*ordenar*,"*order*
verb: order, sort, arrange",*order*,ordenar,"[['order', 'sort', 'arrange', 'command', 'ordain', 'rank', 'tidy up', 'marshal', 'classify', 'put in order', 'enjoin', 'set in order', 'line up', 'assort', 'map out', 'fill an order', 'tidy out', 'demand', 'confer', 'tell off', 'accommodate', 'will']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=ordenar,"verb: order, sort, arrange"


77,*naciste* (nacer),"*you were born*
verb: be born, rise, come into being",*you were born*,nacer,"[['be born', 'rise', 'come into being', 'originate', 'litter']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=naciste,"verb: be born, rise, come into being"


78,*mostró* (mostrar),"*He showed*
verb: show, display, exhibit",*He showed*,mostrar,"[['show', 'display', 'exhibit', 'present', 'indicate', 'manifest', 'evince', 'hold up', 'put forth']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=mostró,"verb: show, display, exhibit"


79,*moderna* (moderno),"*modern*
adjective: modern, hip, up-to-date",*modern*,moderno,"[['modern', 'hip', 'up-to-date', 'up-to-now', 'latter-day']]",adjective,adjective,https://www.linguee.com/english-dutch/search?source=auto&query=moderna,"adjective: modern, hip, up-to-date"


80,*mito*,"*myth*
noun: myth, legend, tale",*myth*,mito,"[['myth', 'legend', 'tale']]",noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=mito,"noun: myth, legend, tale"


81,*juramento*,"*oath*
noun: oath, vow, sacrament",*oath*,juramento,"[['oath', 'vow', 'sacrament']]",noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=juramento,"noun: oath, vow, sacrament"


82,*garras* (garra),"*claws*
noun: claws, jaws, grasp",*claws*,garra,"[['claws', 'jaws', 'grasp']]",noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=garras,"noun: claws, jaws, grasp"


83,*consejero*,"*adviser*
noun: counselor, adviser, councilor",*adviser*,consejero,"[['counselor', 'adviser', 'councilor', 'counsellor', 'councillor']]",noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=consejero,"noun: counselor, adviser, councilor"


84,*confusión*,"*confusion*
noun: confusion, turmoil, mess",*confusion*,confusión,"[['confusion', 'turmoil', 'mess', 'clutter', 'disarray', 'muddle', 'shambles', 'perplexity', 'fog', 'jumble', 'puzzlement', 'welter', 'commotion', 'tangle', 'distraction', 'mystification', 'maze', 'haziness', 'fluster', 'litter', 'disorganization', 'abashment', 'pother', 'mix-up', 'hugger-mugger']]",noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=confusión,"noun: confusion, turmoil, mess"


85,*aguarda* (aguardar),"*wait*
verb: wait, await, expect",*wait*,aguardar,"[['wait', 'await', 'expect', 'look', 'watch']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=aguarda,"verb: wait, await, expect"


86,*vuestras* (vuestro),"*your*
pronoun: your",*your*,vuestro,[['your']],pronoun,pronoun,https://www.linguee.com/english-dutch/search?source=auto&query=vuestras,pronoun: your


87,*ventas* (venta),"*sales*
noun: sale, sales, disposal",*sales*,venta,"[['sale', 'sales', 'disposal', 'vending', 'closeout', 'inn']]",noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=ventas,"noun: sale, sales, disposal"


88,*sirviente*,"*servant*
noun: servant, attendant",*servant*,sirviente,"[['servant', 'attendant']]",noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=sirviente,"noun: servant, attendant"


89,*sierra*,"*Mountain range*
noun: saw, sierra, mountain range",*Mountain range*,sierra,"[['saw', 'sierra', 'mountain range', 'range', 'hacksaw', 'chain', 'mountain chain', 'chine']]",noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=sierra,"noun: saw, sierra, mountain range"


90,*serios* (serio),"*serious*
adjective: serious, earnest, severe",*serious*,serio,"[['serious', 'earnest', 'severe', 'sober', 'staid', 'businesslike', 'dependable', 'meaningful', 'unsmiling', 'demure', 'serious-minded', 'sober-minded']]",adjective,adjective,https://www.linguee.com/english-dutch/search?source=auto&query=serios,"adjective: serious, earnest, severe"


91,*pónganse* (poner),"*put on*
",*put on*,poner,,,no P-O-S info,https://www.linguee.com/english-dutch/search?source=auto&query=pónganse,


92,*perderte* (perder),"*lose you*
",*lose you*,perder,,,no P-O-S info,https://www.linguee.com/english-dutch/search?source=auto&query=perderte,


93,*juegan* (jugar),"*they play*
verb: play, gamble, play around",*they play*,jugar,"[['play', 'gamble', 'play around', 'play at', 'move', 'sport', 'play about']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=juegan,"verb: play, gamble, play around"


94,*indicado* (indicado indicar),"*indicated*
adjective: indicated, suitable, right",*indicated*,indicado indicar,"[['indicated', 'suitable', 'right']]",adjective,adjective,https://www.linguee.com/english-dutch/search?source=auto&query=indicado,"adjective: indicated, suitable, right"


95,*entrenado* (entrenado entrenar),"*trained*
adjective: trained",*trained*,entrenado entrenar,[['trained']],adjective,adjective,https://www.linguee.com/english-dutch/search?source=auto&query=entrenado,adjective: trained


96,*enteré* (enterar),"*I found out*
verb: pay, tell, become acquainted",*I found out*,enterar,"[['pay', 'tell', 'become acquainted', 'inform']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=enteré,"verb: pay, tell, become acquainted"


97,*enhorabuena*,"*Congratulations*
noun: congratulations",*Congratulations*,enhorabuena,[['congratulations']],noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=enhorabuena,noun: congratulations


98,*cuba* (Cuba),"*Cuba*
noun: tub, barrel, cask",*Cuba*,Cuba,"[['tub', 'barrel', 'cask']]",noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=cuba,"noun: tub, barrel, cask"


99,*cruce* (cruce cruzar),"*crossing*
noun: crossing, cross, junction",*crossing*,cruce cruzar,"[['crossing', 'cross', 'junction', 'intersection', 'interchange']]",noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=cruce,"noun: crossing, cross, junction"


